peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.03,0,one-to-one permutation,15-42-80-116,Feasible Quantile Projection,81.52218343332115,69.07229543914872,1.000000000000001,0.1441868043669387
0.03,0,one-to-one permutation,15-42-80-116,Risk-Constrained Convex Verifier,98.8526168980036,86.7334423049132,1.000000000000001,0.1441868043669423
0.03,0,one-to-one permutation,15-42-80-116,Single Feasible Projection,105.26149188946289,93.15970744227148,1.000000000000001,0.1441868043669387
0.03,0,one-to-one permutation,15-42-80-116,Trace-Anchored Reference,31.77546022485553,28.07253673427692,1.000000000000001,0.1441868043669387
0.03,1,one-to-one permutation,15-42-116-80,Feasible Quantile Projection,81.5097529783516,69.06019626180057,1.000000000000001,0.1417979778396552
0.03,1,one-to-one permutation,15-42-116-80,Risk-Constrained Convex Verifier,98.84536645199829,86.72618055398615,1.000000000000001,0.14179797783965867
0.03,1,one-to-one permutation,15-42-116-80,Single Feasible Projection,105.25593951043278,93.15415506324125,1.000000000000001,0.1417979778396552
0.03,1,one-to-one permutation,15-42-116-80,Trace-Anchored Reference,31.79463400724759,28.09223705363291,1.000000000000001,0.1441868043669387
0.03,2,one-to-one permutation,15-80-42-116,Feasible Quantile Projection,81.57063504019054,69.16793347486062,1.000000000000001,0.1441868043669387
0.03,2,one-to-one permutation,15-80-42-116,Risk-Constrained Convex Verifier,98.91790846160418,86.83869545649146,1.000000000000001,0.1441868043669423
0.03,2,one-to-one permutation,15-80-42-116,Single Feasible Projection,105.33022538541789,93.26758482527495,1.000000000000001,0.1441868043669387
0.03,2,one-to-one permutation,15-80-42-116,Trace-Anchored Reference,31.839687888903022,28.176745548255862,1.000000000000001,0.1441868043669387
0.03,3,one-to-one permutation,15-80-116-42,Feasible Quantile Projection,81.5728961593996,69.1701332226159,1.0000000000000016,0.1441868043669387
0.03,3,one-to-one permutation,15-80-116-42,Risk-Constrained Convex Verifier,98.91920994851682,86.83999903771844,1.000000000000001,0.1441868043669423
0.03,3,one-to-one permutation,15-80-116-42,Single Feasible Projection,105.33121229383384,93.26857173369145,1.000000000000001,0.1441868043669387
0.03,3,one-to-one permutation,15-80-116-42,Trace-Anchored Reference,31.834235793656195,28.171195908421296,1.000000000000001,0.1441868043669387
0.03,4,one-to-one permutation,15-116-42-80,Feasible Quantile Projection,81.51663107005697,69.07444964081844,1.000000000000001,0.1417979778396552
0.03,4,one-to-one permutation,15-116-42-80,Risk-Constrained Convex Verifier,98.85487664624128,86.74193678549084,1.0000000000000009,0.14179797783965867
0.03,4,one-to-one permutation,15-116-42-80,Single Feasible Projection,105.26598768224223,93.17032146481695,1.000000000000001,0.1417979778396552
0.03,4,one-to-one permutation,15-116-42-80,Trace-Anchored Reference,31.803991822539334,28.107843963739906,1.000000000000001,0.1441868043669387
0.03,5,one-to-one permutation,15-116-80-42,Feasible Quantile Projection,81.5320175884701,69.08944351015614,1.000000000000001,0.1441868043669387
0.03,5,one-to-one permutation,15-116-80-42,Risk-Constrained Convex Verifier,98.86412352339593,86.75119706188154,1.000000000000001,0.1441868043669423
0.03,5,one-to-one permutation,15-116-80-42,Single Feasible Projection,105.27322191392287,93.17755569649786,1.000000000000001,0.1441868043669387
0.03,5,one-to-one permutation,15-116-80-42,Trace-Anchored Reference,31.7800469794952,28.0832750391437,1.000000000000001,0.1441868043669387
0.03,6,one-to-one permutation,42-15-80-116,Feasible Quantile Projection,81.51460542425997,69.0597167538985,1.000000000000001,0.1441868043669387
0.03,6,one-to-one permutation,42-15-80-116,Risk-Constrained Convex Verifier,98.84459010143244,86.7211347003388,1.000000000000001,0.1441868043669423
0.03,6,one-to-one permutation,42-15-80-116,Single Feasible Projection,105.25354618815645,93.14758079551784,1.000000000000001,0.1441868043669387
0.03,6,one-to-one permutation,42-15-80-116,Trace-Anchored Reference,31.767597743655575,28.0605503939211,1.000000000000001,0.1441868043669387
