day,endpoint,conversion_scale_factor,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version
61,q01,0.5844748596130233,106653.7099447211,106656.22236857038,106748.45339457269,-94.74344985159404,-92.23102600230776,2.5124238492862787,-92.23102600230776,,,2,segment between selected reference and payment-certified profile,5
61,q99,2.6930887095833507,109244.90743314972,109256.60219632098,109692.77205051549,-447.8646173657471,-436.1698541944934,11.694763171253726,-436.1698541944934,,,2,segment between selected reference and payment-certified profile,5
62,q01,0.5844748596130233,107306.10146308877,107306.10146660244,107630.05560577402,-323.954142685252,-323.95413917157566,3.5136763472110037e-06,-323.95413917157566,,,2,segment between selected reference and payment-certified profile,5
62,q99,2.6930887095833507,112374.25080843957,112374.25082580316,113920.15935990038,-1545.908551460816,-1545.9085340972233,1.736359263304621e-05,-1545.9085340972233,,,2,segment between selected reference and payment-certified profile,5
63,q01,0.5844748596130233,107227.493326542,107237.47268638355,107488.72261330462,-261.2292867626238,-251.24992692106755,9.979359841556288,-251.24992692106755,,,2,segment between selected reference and payment-certified profile,5
63,q99,2.6930887095833507,112105.36008743529,112233.74148198486,113294.61138764098,-1189.2513002056949,-1060.8699056561163,128.38139454957854,-1060.8699056561163,,,2,segment between selected reference and payment-certified profile,5
64,q01,0.5844748596130233,107378.402310309,107378.40231532074,107748.52616209169,-370.1238517826714,-370.1238467709336,5.011737812310457e-06,-370.1238467709336,,,2,segment between selected reference and payment-certified profile,5
64,q99,2.6930887095833507,112722.15853741668,112722.15856219192,114496.16483466646,-1774.0062972497835,-1774.006272474537,2.477524685673416e-05,-1774.006272474537,,,2,segment between selected reference and payment-certified profile,5
65,q01,0.5844748596130233,106529.04315342563,106529.04315395464,106578.853593788,-49.8104403623729,-49.81043983336713,5.290057742968202e-07,-49.81043983336713,,,2,segment between selected reference and payment-certified profile,5
65,q99,2.6930887095833507,108719.36248260448,108719.36248517384,108955.24620420828,-235.88372160380823,-235.8837190344493,2.569358912296593e-06,-235.8837190344493,,,2,segment between selected reference and payment-certified profile,5
66,q01,0.5844748596130233,106763.14255569756,106763.1425558227,106910.09535766476,-146.95280196719978,-146.9528018420533,1.2514647096395493e-07,-146.9528018420533,,,2,segment between selected reference and payment-certified profile,5
66,q99,2.6930887095833507,109893.7959353551,109893.79593593364,110597.03525398047,-703.2393186253757,-703.2393180468353,5.785404937341809e-07,-703.2393180468353,,,2,segment between selected reference and payment-certified profile,5
67,q01,0.5844748596130233,106352.70004239528,106352.7000462974,106367.63406364956,-14.93402125427383,-14.93401735216321,3.9021106204018e-06,-14.93401735216321,,,2,segment between selected reference and payment-certified profile,5
67,q99,2.6930887095833507,107844.48020751515,107844.4802256006,107913.84271741312,-69.36250989796827,-69.36249181252788,1.8085440387949347e-05,-69.36249181252788,,,2,segment between selected reference and payment-certified profile,5
68,q01,0.5844748596130233,106667.34078367412,106667.34078540164,106790.35538788004,-123.01460420592048,-123.01460247840441,1.7275160644203424e-06,-123.01460247840441,,,2,segment between selected reference and payment-certified profile,5
68,q99,2.6930887095833507,109309.42261931524,109309.42262746287,109888.9949372751,-579.5723179598572,-579.5723098122253,8.147631888277829e-06,-579.5723098122253,,,2,segment between selected reference and payment-certified profile,5
69,q01,0.5844748596130233,107384.37758631758,107384.37758848837,107738.58544342374,-354.20785710615746,-354.2078549353755,2.170781954191625e-06,-354.2078549353755,,,2,segment between selected reference and payment-certified profile,5
69,q99,2.6930887095833507,112764.08545449836,112764.08546531889,114456.83396073114,-1692.748506232776,-1692.7484954122483,1.0820527677424252e-05,-1692.7484954122483,,,2,segment between selected reference and payment-certified profile,5
70,q01,0.5844748596130233,107034.47913825649,107034.47914241036,107275.00641921206,-240.5272809555754,-240.5272768017021,4.153873305767775e-06,-240.5272768017021,,,2,segment between selected reference and payment-certified profile,5
70,q99,2.6930887095833507,111072.44077222024,111072.44079230602,112217.95979647318,-1145.5190242529352,-1145.5190041671594,2.008577575907111e-05,-1145.5190041671594,,,2,segment between selected reference and payment-certified profile,5
71,q01,0.5844748596130233,107324.6379715803,107324.63797582762,107663.32097251786,-338.68300093755533,-338.6829966902442,4.247311153449118e-06,-338.6829966902442,,,2,segment between selected reference and payment-certified profile,5
71,q99,2.6930887095833507,112461.28818144562,112461.28820265044,114079.88896475485,-1618.6007833092299,-1618.6007621044118,2.1204818040132523e-05,-1618.6007621044118,,,2,segment between selected reference and payment-certified profile,5
72,q01,0.5844748596130233,106963.20300044808,106963.20300080128,107181.58862694821,-218.38562650013773,-218.38562614693365,3.5320408642292023e-07,-218.38562614693365,,,2,segment between selected reference and payment-certified profile,5
72,q99,2.6930887095833507,110707.60592619157,110707.60592804928,111743.87088254333,-1036.2649563517625,-1036.2649544940505,1.8577120499685407e-06,-1036.2649544940505,,,2,segment between selected reference and payment-certified profile,5
73,q01,0.5844748596130233,107106.92478119874,107106.9247813904,107352.54297699084,-245.6181957920926,-245.61819560044387,1.9164872355759144e-07,-245.61819560044387,,,2,segment between selected reference and payment-certified profile,5
73,q99,2.6930887095833507,111426.00327373308,111426.00327475584,112599.12708280717,-1173.1238090740953,-1173.1238080513285,1.0227668099105358e-06,-1173.1238080513285,,,2,segment between selected reference and payment-certified profile,5
74,q01,0.5844748596130233,106807.96248869992,106807.97332621018,106977.23439117556,-169.27190247563703,-169.26106496537977,0.010837510257260874,-169.26106496537977,,,2,segment between selected reference and payment-certified profile,5
