day,endpoint,conversion_scale_factor,unclipped_conversion_scale_factor,solver_status,capacity_activation_eligible,method,certified_cost_usd,reference_cost_usd,margin_usd,payment_cap_violation_usd,independent_segments,schema_version,endpoint_profile_checksum
61,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106345.73858345216,106345.73858345216,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
61,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106343.6886075534,106345.73858345216,2.0499758987571113,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
61,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,106741.21465942895,106741.21465942895,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
61,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106732.71136888555,106741.21465942895,8.503290543405456,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
62,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106544.41372841413,106544.41372841413,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
62,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106501.68449132184,106544.41372841413,42.72923709229508,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
62,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107658.03035983138,107658.03035983138,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
62,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107471.13637563924,107658.03035983138,186.8939841921383,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
63,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106557.26198614395,106557.26198614395,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
63,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106521.67353755262,106557.26198614395,35.588448591326596,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
63,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107718.49198460198,107718.49198460198,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
63,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107562.18920666771,107718.49198460198,156.3027779342665,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
64,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106569.69552961494,106569.69552961494,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
64,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106527.7308970268,106569.69552961494,41.9646325881331,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
64,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107774.90963960048,107774.90963960048,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
64,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107592.50141966039,107774.90963960048,182.4082199400873,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
65,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106322.25751775768,106322.25751775768,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
65,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106322.23285218858,106322.25751775768,0.024665569100761786,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
65,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,106632.78375037285,106632.78375037285,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
65,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106632.78375037285,106632.78375037285,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
66,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106411.27815576381,106411.27815576381,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
66,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106384.09460299934,106411.27815576381,27.18355276447255,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
66,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107047.56219790586,107047.56219790586,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
66,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106922.4724278486,107047.56219790586,125.08977005726774,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
67,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106257.73116426583,106257.73116426583,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
67,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106257.73116426583,106257.73116426583,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
67,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,106334.8051483918,106334.8051483918,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
67,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106334.80514839181,106334.8051483918,-1.4551915228366852e-11,1.4551915228366852e-11,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
68,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106361.26292418106,106361.26292418106,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
68,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106352.21843465905,106361.26292418106,9.044489522013464,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
68,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,106812.97754662292,106812.97754662292,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
68,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106772.56144474397,106812.97754662292,40.41610187894548,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
69,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106579.2075182863,106579.2075182863,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
69,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106516.15998778176,106579.2075182863,63.04753050454019,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
69,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107818.97517166447,107818.97517166447,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
69,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107543.05323312155,107818.97517166447,275.9219385429169,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
70,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106465.29440539284,106465.29440539284,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
70,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106431.28141051243,106465.29440539284,34.01299488040968,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
70,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107293.16123706813,107293.16123706813,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
70,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107142.37996333816,107293.16123706813,150.78127372996823,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
71,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106549.19273409662,106549.19273409662,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
71,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106527.71614392744,106549.19273409662,21.476590169186238,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
71,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107680.01430495297,107680.01430495297,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
71,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107594.25181896976,107680.01430495297,85.76248598321399,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
72,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106439.99677926271,106439.99677926271,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
72,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106413.23476791823,106439.99677926271,26.762011344486382,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
72,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107176.01897128593,107176.01897128593,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
72,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107058.3296743262,107176.01897128593,117.68929695972474,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
73,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106492.90898497404,106492.90898497404,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
73,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106459.82264610473,106492.90898497404,33.086338869310566,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
73,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107420.88918600894,107420.88918600894,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
73,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,107273.12330318894,107420.88918600894,147.76588281999284,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
74,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106399.78245951189,106399.78245951189,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
74,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106376.46754935435,106399.78245951189,23.314910157539998,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
74,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,106990.70980022571,106990.70980022571,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
74,q99,2.6930887095833507,2.6930887095833507,optimal,True,Payment-Certified N-1 Verifier,106887.616736856,106990.70980022571,103.09306336971349,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
75,q01,0.5844748596130233,0.5844748596130233,optimal,True,Selected Single Feasible Projection,106585.65232960264,106585.65232960264,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
75,q01,0.5844748596130233,0.5844748596130233,optimal,True,Payment-Certified N-1 Verifier,106526.10489295948,106585.65232960264,59.54743664315902,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
75,q99,2.6930887095833507,2.6930887095833507,optimal,True,Selected Single Feasible Projection,107850.2266031806,107850.2266031806,0.0,0.0,4,12,54eb7508ae775258cb6d1af90819916cfd12c618fccf42c0a76d7ef4a496382c
