day,endpoint,conversion_scale_factor,unclipped_conversion_scale_factor,solver_status,capacity_activation_eligible,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,continuous_segment_minimum_baseline_cost_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version,endpoint_profile_checksum
61,q01,0.5844748596130233,0.5844748596130233,optimal,True,106633.57743675068,106643.76759938843,106633.57743676298,106727.31278809949,-93.73535134880512,-83.54518871105392,10.1901626377512,-83.54518871105392,133.95202902139863,0.0,2,continuous affine segment between selected reference and payment-certified profile; exact joint LP minimum and convex endpoint maximum,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
61,q99,2.6930887095833507,2.6930887095833507,infeasible_under_committed_capacity,False,,,,,,,,,,,2,raw q99 stress endpoint retained without payment activation,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
62,q01,0.5844748596130233,0.5844748596130233,optimal,True,107125.9967664361,107147.08402841711,107125.99676643604,107398.40121949333,-272.40445305728645,-251.31719107621757,21.087261981068878,-251.31719107621757,-251.31719107621757,1.0,2,continuous affine segment between selected reference and payment-certified profile; exact joint LP minimum and convex endpoint maximum,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
62,q99,2.6930887095833507,2.6930887095833507,infeasible_under_committed_capacity,False,,,,,,,,,,,2,raw q99 stress endpoint retained without payment activation,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
63,q01,0.5844748596130233,0.5844748596130233,optimal,True,107163.99817784262,107180.01419539838,107163.99817784256,107441.49107807083,-277.49290022827336,-261.47688267244666,16.016017555826693,-261.47688267244666,-30.289124890216044,0.0,2,continuous affine segment between selected reference and payment-certified profile; exact joint LP minimum and convex endpoint maximum,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
63,q99,2.6930887095833507,2.6930887095833507,infeasible_under_committed_capacity,False,,,,,,,,,,,2,raw q99 stress endpoint retained without payment activation,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
64,q01,0.5844748596130233,0.5844748596130233,optimal,True,107201.19603369012,107211.1247876373,107201.19603369007,107477.168514019,-275.9724803289282,-266.04372638170025,9.92875394722796,-266.04372638170025,-136.10814072519133,0.0,2,continuous affine segment between selected reference and payment-certified profile; exact joint LP minimum and convex endpoint maximum,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
64,q99,2.6930887095833507,2.6930887095833507,infeasible_under_committed_capacity,False,,,,,,,,,,,2,raw q99 stress endpoint retained without payment activation,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
65,q01,0.5844748596130233,0.5844748596130233,optimal,True,106584.15084875985,106584.15084875985,106584.15084875979,106631.7801025945,-47.629253834704286,-47.62925383464608,5.820766091346741e-11,-47.62925383464608,49.80373299929488,0.0,2,continuous affine segment between selected reference and payment-certified profile; exact joint LP minimum and convex endpoint maximum,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
65,q99,2.6930887095833507,2.6930887095833507,infeasible_under_committed_capacity,False,,,,,,,,,,,2,raw q99 stress endpoint retained without payment activation,10,2e53d9700e52b0cbcef62d79ebbdd53769f5a767736f9b41c2fde9441d90b165
