metric,value
certificate_type,immutable scheduler/DCGM ledger provenance and capacity reconciliation
scheduler_rows,287173
scheduler_unique_job_ids,287069
scheduler_duplicate_rows_after_last_record_rule,104
dcgm_rows,96893
dcgm_unique_job_ids,74849
joined_positive_energy_jobs,71128
joined_positive_energy_fraction_of_scheduler_ids,0.24777318345066865
temporal_order_fraction,1.0
release_before_start_fraction,1.0
start_before_end_fraction,1.0
positive_energy_fraction,1.0
positive_dcgm_energy_j,9566449316.0
retained_join_energy_j,9566446113.0
joined_energy_sum_j,9566446113.0
raw_to_join_energy_residual_j,0.0
canonical_joined_ledger_sha256,fdf49ad75d301580595cabc24656db9d20da9f27ca33249b49095197246ce950
canonical_row_count,71128
integrity_one_to_one_scheduler_record_after_declared_last_record_rule,True
integrity_positive_energy_join_only,True
integrity_release_before_execution,True
integrity_release_before_start,True
integrity_start_before_end,True
integrity_raw_to_join_energy_conservation,True
integrity_no_synthetic_rows,True
integrity_no_imputation,True
