network,snapshot_index,day,event_slot,method,peak_dc_penetration,outage,solver_success,maximum_apparent_line_loading,maximum_voltage_violation_pu,minimum_voltage_pu,maximum_voltage_pu,maximum_nonreference_active_plan_deviation_mw,reference_generator_loss_recourse_mw,load_multiplier,data_center_power_factor,dc_power_scale,validation_trace_peak_mw,schema_version
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,0,1,0.023797556917765,0.0,1.0094539876914892,1.0599999991437268,0.0,0.0226111932869343,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,1,1,0.0238056715318893,0.0,1.0094500498574623,1.0599999992207172,0.0,0.3076742032481832,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,2,1,0.0238593516711786,0.0,1.009455405732743,1.0599999961251896,0.0,0.6272652260045675,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,3,1,0.02381671736757,0.0,1.0094497962952709,1.0599999961336308,0.0,0.6673510280202777,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,4,1,0.0238231198853977,0.0,1.009452303813686,1.0599999961330655,0.0,0.6091833549847081,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,5,1,0.0238013287117233,0.0,1.0094540176650255,1.0599999992066411,0.0,0.0913189937672882,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,7,1,0.0238243618220017,0.0,1.009220812700256,1.0599999917995226,0.0,9.43519579573615,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,9,1,0.0238056698746903,0.0,1.0094530561739588,1.0599999992121976,0.0,0.1921111496238268,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,10,1,0.0238034271346302,0.0,1.0094521364241564,1.0599999992079605,0.0,0.2473153113124055,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,11,1,0.0238011721076957,0.0,1.009455975315857,1.0599999992221207,0.0,0.0154986012620668,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,12,1,0.0238020838507953,0.0,1.009451116314286,1.0599999991750158,0.0,0.1653673130465733,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,13,1,0.0237989103504131,0.0,1.0094543213795388,1.0599999991010756,0.0,0.0092926031334741,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,14,1,0.0237982715327663,0.0,1.0094546929771064,1.0599999991957592,0.0,0.0192017178882224,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,15,1,0.0238033896061268,0.0,1.0094595616164774,1.0599999992753668,0.0,0.2465222905765927,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,16,1,0.0237926953838801,0.0,1.0094509819891886,1.0599999991516686,0.0,0.0519494043773249,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,17,1,0.0237943197345019,0.0,1.0094571367463456,1.0599999992644469,0.0,0.0103187744046806,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,18,1,0.0237947886664645,0.0,1.0094601340880345,1.0599999992697062,0.0,-0.0037205571835272,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,19,1,0.0237917905484447,0.0,1.009453500227588,1.0599999991850908,0.0,0.0033699582828035,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,20,1,0.0238055236459576,0.0,1.0094599474614117,1.059999994081383,0.0,0.5194973637268561,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,21,1,0.0237890901004106,0.0,1.009451177628769,1.0599999991914748,0.0,0.0614621669828636,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,22,1,0.0237876695119279,0.0,1.009413080204035,1.059999999287764,0.0,0.5845880913317387,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,23,1,0.0238006932973998,0.0,1.0094531889336074,1.0599999992674554,0.0,0.0449966026185109,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,24,1,0.0237978706177819,0.0,1.0094647430496124,1.059999999297219,0.0,-0.0295920684128248,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,25,1,0.0237922084693595,0.0,1.0094427366183816,1.0599999993613534,0.0,0.0037785899669131,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,26,1,0.023802441030885,0.0,1.0094867388541815,1.0599999991991418,0.0,0.0586364571845479,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,27,1,0.0238048208582331,0.0,1.0095076290938092,1.059999999197813,0.0,0.2383456345891943,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,28,1,0.0238068797170412,0.0,1.0095263001120247,1.059999993003685,0.0,0.4226090349114884,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,29,1,0.0237994526549293,0.0,1.0093496850665475,1.059999994977216,0.0,0.085205899403121,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,30,1,0.0238170432700937,0.0,1.0093245993428186,1.0599999978745835,0.0,1.454343987479831,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,31,1,0.0238001998589805,0.0,1.0093913332150597,1.059999995389467,0.0,-0.2370213702182013,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,32,1,0.0238146223118655,0.0,1.009469466613896,1.0599999977150223,0.0,1.93549433141942,0.45,0.95,0.2264157461580293,252.92852185302465,4
IEEE 118-bus,0,61,64,Payment-Certified N-1 Verifier,0.03,33,1,0.0237992926797728,0.0,1.009460438644198,1.0599999991773648,0.0,0.1343255225483801,0.45,0.95,0.2264157461580293,252.92852185302465,4
