network,peak_dc_penetration,method,evaluated_outages,evaluated_snapshots,maximum_apparent_line_loading,maximum_voltage_violation_pu,maximum_nonreference_active_plan_deviation_mw
IEEE 118-bus,0.03,Payment-Certified N-1 Verifier,177,6,0.0243153239780408,0.0,0.0
IEEE 118-bus,0.03,Trace-Anchored Reference,177,6,0.0243303101580617,0.0,0.0
IEEE 118-bus,0.06,Payment-Certified N-1 Verifier,177,6,0.024431174568795,0.0,0.0
IEEE 118-bus,0.06,Trace-Anchored Reference,177,6,0.0244608297939714,0.0,0.0
IEEE 118-bus,0.09,Payment-Certified N-1 Verifier,177,6,0.0245540094797407,0.0,0.0
IEEE 118-bus,0.09,Trace-Anchored Reference,177,6,0.0246010640764024,0.0,0.0
IEEE 30-bus,0.03,Payment-Certified N-1 Verifier,38,6,0.6574643582092998,0.0,0.0
IEEE 30-bus,0.03,Trace-Anchored Reference,38,6,0.6574529886377396,0.0,0.0
IEEE 30-bus,0.06,Payment-Certified N-1 Verifier,38,6,0.6574214293183076,0.0,0.0
IEEE 30-bus,0.06,Trace-Anchored Reference,38,6,0.6573986274226101,0.0,0.0
IEEE 30-bus,0.09,Payment-Certified N-1 Verifier,38,6,0.6573784772904597,0.0,0.0
IEEE 30-bus,0.09,Trace-Anchored Reference,38,6,0.6573441797318631,0.0,0.0
IEEE 39-bus,0.03,Payment-Certified N-1 Verifier,24,6,0.9172613165382538,0.0,0.0
IEEE 39-bus,0.03,Trace-Anchored Reference,24,6,0.9151555076499294,0.0,0.0
IEEE 39-bus,0.06,Payment-Certified N-1 Verifier,24,6,0.914815427358962,0.0,0.0
IEEE 39-bus,0.06,Trace-Anchored Reference,24,6,0.9136127069961104,0.0,0.0
IEEE 39-bus,0.09,Payment-Certified N-1 Verifier,24,6,0.9138862190309656,0.0,0.0
IEEE 39-bus,0.09,Trace-Anchored Reference,24,6,0.9119366113758876,0.0,0.0
IEEE RTS 24-bus,0.03,Payment-Certified N-1 Verifier,36,6,0.9058946177127368,0.0,0.0
IEEE RTS 24-bus,0.03,Trace-Anchored Reference,36,6,0.905894617728062,0.0,0.0
IEEE RTS 24-bus,0.06,Payment-Certified N-1 Verifier,36,6,0.905894617404218,0.0,0.0
IEEE RTS 24-bus,0.06,Trace-Anchored Reference,36,6,0.9058946161162972,0.0,0.0
IEEE RTS 24-bus,0.09,Payment-Certified N-1 Verifier,36,6,0.9058946163268952,0.0,0.0
IEEE RTS 24-bus,0.09,Trace-Anchored Reference,36,6,0.905894614397804,0.0,0.0
