network,snapshot_index,day,event_slot,method,peak_dc_penetration,outage,solver_success,maximum_apparent_line_loading,maximum_voltage_violation_pu,minimum_voltage_pu,maximum_nonreference_active_plan_deviation_mw,reference_generator_loss_recourse_mw,load_multiplier,data_center_power_factor,profile_scale_reference,payment_reference_penetration,payment_network_scale,dc_power_scale,validation_trace_peak_mw,schema_version
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,0,1,0.9353647333005665,0.0,0.9878125784270608,2.1521984194805555e-10,0.06366021496758378,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,1,1,0.9359541975462844,0.0,0.9878485353664758,6.422182812324796e-09,0.632258479440182,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,2,1,0.8845933328086567,0.0,0.990483950833745,3.0729552236152813e-10,1.0006305611524624,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,3,1,0.9041914760375778,0.0,0.9814015202267737,3.572495188564062e-09,0.9645644436020291,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,4,1,0.9999999955787867,0.0,0.9536636842154236,9.816919058826251e-10,2.2829452670343926,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,5,1,0.9202433573458134,0.0,0.989137487657642,8.013898877834436e-09,0.8473403483637441,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,7,1,0.949492867131408,0.0,0.9883200101507761,6.732100021789458e-09,1.18189294184414,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,8,1,0.9508871327602284,0.0,0.9826358876608052,1.3414762634056387e-08,0.5561999382021412,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,13,1,0.9378589330176882,0.0,0.9808950790819707,8.350184543814976e-09,2.1825857813682035,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
IEEE RTS 24-bus,0,61,64,Payment-Certified N-1 Verifier,0.09,14,1,0.9432882112483653,0.0,0.9809818913697719,9.57101065068855e-09,2.2187781262353212,0.9,0.95,Exp9 checksum-bound network_dc_scale,0.04,0.1573939030950884,0.3541362819639489,259.73921558929453,12
