method,n_days,mean_mae_mw,median_mae_mw,std_mae_mw,mae_ci_low_mw,mae_ci_high_mw,mean_rmse_mw,mean_nrmse,mean_bias_mw,truth_source,event_intervention
Feasible Quantile Projection,54,2.7008470879288926,2.119805412261253,2.155933421050101,2.123052447743443,3.345659965794765,4.1387155656746755,0.3213704879915091,-0.9679695498498914,independent_trace_observed_meter,False
Tail-Risk Feasible Counterfactual,54,2.812019632418673,2.127494527719998,2.2276907436364946,2.2321880834880594,3.474784557453717,4.226750698448684,0.33079501527027316,-0.9105220863316025,independent_trace_observed_meter,False
Risk-Constrained Convex Verifier,54,2.864489286694961,2.2029616215606955,2.3909046257665145,2.238707829249613,3.5614684361113484,4.367360499424476,0.3433814662182168,-0.9977865000074944,independent_trace_observed_meter,False
Single Feasible Projection,54,2.8781154291543536,2.2029616215606955,2.405758631033025,2.244728439037095,3.581433048094971,4.4010378598124404,0.3452089804915102,-0.9737664325644526,independent_trace_observed_meter,False
Ex-post Quantile Gradient Boosting,54,5.8001321863763415,5.247353376954278,3.0474248428792756,4.694664493462396,6.884650888660341,9.750082458493365,0.9444731654157017,0.3077695266428326,independent_trace_observed_meter,False
Metadata Gradient Boosting,54,13.675528381967572,13.64938327592388,5.245158713277357,11.51388123741883,15.759690163675137,23.8642338593641,2.132880396331526,9.061851563471565,independent_trace_observed_meter,False
Ex-post Metadata Gradient Boosting,54,13.73580534698374,14.508659830303788,5.991025354676376,11.156629175342132,16.144115495255836,24.16704079835212,2.1236523448704627,9.249445110574463,independent_trace_observed_meter,False
Gradient Boosting,54,14.870267983718705,16.97146977347154,5.207183694769707,12.491846911160676,16.946866801583575,25.689071432671835,2.3513722852181904,9.468847383061982,independent_trace_observed_meter,False
Ridge,54,16.156338907683775,17.086858837647885,7.409202593820449,13.100654380834406,18.988771605518927,30.77190231759612,2.772429176047264,11.604751641154554,independent_trace_observed_meter,False
Synthetic Control,54,16.60976023098542,17.403844100186916,8.56406422217249,13.00857956814694,20.026067949852198,29.499711047741727,2.552037287594039,8.860624130977742,independent_trace_observed_meter,False
Extra Trees,54,20.24587902957894,22.624218202703936,6.725832324447348,17.37781428186286,23.076216131288376,36.18653023371627,3.3355704511286266,13.034011580574266,independent_trace_observed_meter,False
High-5-of-10,54,25.45406443968935,28.81629965298528,8.605837454569498,21.41983608039681,29.138283939770233,45.92014529018249,4.214370508655282,17.774521317838516,independent_trace_observed_meter,False
