metric,value,unit
source_exp19_scale_factor,1.0,x
declared_batch_hyperscale_multiplier,15350.07101986688,x
capacity_safe_scale_factor,6838.672329621412,x
capacity_proportional_network_scale_factor,6838.672329621412,x
fixed_gpu_nameplate_scale_factor,3.033184773956104,x
fixed_nameplate_certified_scale_factor,3.033184773956104,x
certified_scale_factor,3.033184773956104,x
raw_peak_mw,0.017254811213704174,MW
capacity_proportional_network_peak_mw,118.0,MW
certified_peak_mw,0.052337030650894546,MW
minimum_capacity_slack_mwh,29.486915742337278,MWh
capacity_proportional_minimum_capacity_slack_mwh,0.0,MWh
event_native_mwh,0.5897298886722341,MWh
event_counterfactual_mwh,0.0,MWh
event_gross_reduction_mwh,0.5897298886722341,MWh
event_rebound_mwh,0.0,MWh
capacity_proportional_event_native_mwh,1329.615493998879,MWh
capacity_proportional_event_counterfactual_mwh,0.0,MWh
capacity_proportional_event_gross_reduction_mwh,1329.615493998879,MWh
homogeneous_resource_scaling_for_coupling,1.0,boolean
