metric,value,unit
submitted_jobs,75326.0,jobs
execution_matched_jobs,71128.0,jobs
service_variables,13198247.0,variables
event_slots_replayed,1056.0,slots
maximum_job_to_aggregate_residual_mwh,0.0,MWh
maximum_job_energy_recheck_residual_mwh,0.0,MWh
maximum_gpu_bound_violation_mwh,0.0,MWh
minimum_gpu_bound_slack_mwh,8.380333333333334e-05,MWh
minimum_site_capacity_slack_mwh,29.4864441575,MWh
event_native_job_profile_mwh,0.1944259689471752,MWh
event_counterfactual_job_profile_mwh,0.0,MWh
event_secure_network_value_usd_per_interval,0.004227502098729019,USD/interval
homogeneous_scaled_scenario_count,2.0,scenarios
maximum_homogeneous_scaled_network_value_usd_per_interval,9.199820068732151,USD/interval
maximum_counterfactual_base_loading,0.7521667859623549,ratio
maximum_counterfactual_postcontingency_loading,1.0,ratio
all_network_solves_successful,1.0,boolean
