metric,value,unit
full_cycle_cells,5184.0,day-slots
event_cells,432.0,day-slots
locked_days,54.0,days
finite_n1_contingencies_per_cell,37.0,contingencies
negative_network_value_cells,1060.0,cells
signed_network_value_usd,-0.6862356798556002,USD
signed_nodal_meter_credit_usd,-0.6862356799857114,USD
capacity_payment_usd,185.35037027713457,USD
payable_response_mwh,1.2356691351808955,MWh
settlement_floor_cells,1060.0,cells
signed_cycle_settlement_usd,184.66413459727897,USD
cash_floor_settlement_usd,283.4702352151331,USD
negative_settlement_debit_usd,-98.8061006178541,USD
signed_value_minus_meter_credit_usd,1.3011125510331567e-10,USD
