job_index,region,requested_gpus,submit_slot,deadline_slot,runtime_slots,declared_job_energy_mwh,declared_job_energy_upper_mwh,runtime_energy_mwh,baseline_start_slot,counterfactual_start_slot,risk_aligned_start_slot,baseline_event_slots,counterfactual_event_slots,baseline_objective_usd,counterfactual_objective_usd,risk_aligned_objective_usd
0,1,1.0,3597,3694,1,3.770217498256928e-07,0.00025,0.00025,3597,3597,3597,0,0,0.0,0.0,0.0
1,1,1.0,4325,4445,24,1.8615120156467018e-06,0.006,0.006,4325,4325,4325,0,0,0.10350000000000001,0.10350000000000001,0.10350000000000001
2,3,1.0,11702,11926,128,1.9314727484418893e-06,0.032,0.032,11702,11702,11702,8,8,3.048,3.348,3.348
3,1,2.0,4092,4772,584,8.416390932462181e-05,0.292,0.292,4092,4092,4092,52,52,127.677,131.577,131.577
4,0,1.0,4564,4788,128,1.0373055555555563e-05,0.032,0.032,4564,4564,4564,16,16,3.048,3.648,3.648
5,1,2.0,10665,10762,1,9.388440330114133e-07,0.0005,0.0005,10665,10665,10666,0,0,0.0,0.0,0.0008086012424106088
6,2,1.0,2362,2586,128,2.2713057516842825e-05,0.032,0.032,2362,2362,2362,16,16,3.048,3.648,3.648
7,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
8,3,1.0,10625,10849,128,1.0373055555555563e-05,0.032,0.032,10625,10625,10625,15,15,3.048,3.6105,3.69132268907327
9,1,1.0,10680,10904,128,2.5295833333333346e-05,0.032,0.032,10680,10680,10680,8,8,3.048,3.348,3.4130337693268813
10,3,1.0,1181,1405,128,1.0373055555555563e-05,0.032,0.032,1181,1181,1181,8,8,3.048,3.348,3.348
11,0,1.0,2037,2138,5,5.089282462185221e-06,0.00125,0.00125,2037,2037,2037,0,0,0.00375,0.00375,0.00375
12,3,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
13,0,8.0,727,890,67,5.0106666666666605e-05,0.134,0.134,727,727,727,8,8,6.633,9.033,9.033
14,0,2.0,4537,4761,128,4.809673886552115e-06,0.064,0.064,4537,4537,4537,8,8,6.096,6.696,6.696
15,2,1.0,10284,10382,2,5.85e-07,0.0005,0.0005,10284,10284,10284,0,0,0.000375,0.000375,0.0009134081015790306
16,3,1.0,11236,11333,1,3.770217498256928e-07,0.00025,0.00025,11236,11236,11236,0,0,0.0,0.0,0.0
17,1,1.0,4211,4435,128,1.9314727484418893e-06,0.032,0.032,4211,4211,4211,8,8,3.048,3.348,3.348
18,3,1.0,5187,5284,1,3.770217498256928e-07,0.00025,0.00025,5187,5187,5187,0,0,0.0,0.0,0.0
19,2,2.0,991,1215,128,2.583055570913793e-05,0.064,0.064,991,991,991,8,8,6.096,6.696,6.696
20,1,1.0,7877,7997,24,1.8615120156467018e-06,0.006,0.006,7877,7877,7877,0,0,0.10350000000000001,0.10350000000000001,0.17534773221250796
21,3,1.0,10680,10904,128,1.0373055555555563e-05,0.032,0.032,10680,10680,10680,8,8,3.048,3.348,3.413622113687876
22,0,1.0,2077,2175,2,5.85e-07,0.0005,0.0005,2077,2077,2077,0,0,0.000375,0.000375,0.000375
23,2,1.0,10693,10917,128,1.0373055555555563e-05,0.032,0.032,10693,10693,10693,13,13,3.048,3.5355,3.594465054790025
24,0,1.0,8942,9166,128,1.0373055555555563e-05,0.032,0.032,8942,8942,8942,8,8,3.048,3.348,3.3769157526603637
25,0,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
26,1,1.0,8873,9097,128,1.9314727484418893e-06,0.032,0.032,8873,8873,8873,16,16,3.048,3.648,3.6814908587042665
27,1,1.0,5392,5616,128,1.9314727484418893e-06,0.032,0.032,5392,5392,5392,8,8,3.048,3.348,3.348
28,1,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
29,1,1.0,4399,4623,128,1.9314727484418893e-06,0.032,0.032,4399,4399,4399,8,8,3.048,3.348,3.348
30,1,1.0,11874,12098,128,1.9314727484418893e-06,0.032,0.032,11874,11874,11874,14,14,3.048,3.573,3.573
31,0,1.0,5821,6045,128,1.9314727484418893e-06,0.032,0.032,5821,5821,5821,16,16,3.048,3.648,3.8364314389672236
32,2,1.0,1015,1135,24,1.8615120156467018e-06,0.006,0.006,1015,1032,1032,8,0,0.10350000000000001,0.2565,0.2565
33,3,1.0,4270,4371,5,5.089282462185221e-06,0.00125,0.00125,4270,4270,4270,0,0,0.00375,0.00375,0.00375
34,2,1.0,4727,4951,128,1.9314727484418893e-06,0.032,0.032,4727,4727,4727,8,8,3.048,3.348,3.348
35,2,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
36,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
37,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
38,2,1.0,245,346,5,5.089282462185221e-06,0.00125,0.00125,245,245,245,0,0,0.00375,0.00375,0.00375
39,3,1.0,2708,2932,128,2.2713057516842825e-05,0.032,0.032,2708,2708,2708,8,8,3.048,3.348,3.348
40,1,1.0,1587,1811,128,1.0373055555555563e-05,0.032,0.032,1587,1587,1587,16,16,3.048,3.648,3.648
41,0,1.0,6123,6803,584,3.379861111111111e-05,0.146,0.146,6123,6123,6123,48,48,63.8385,65.63850000000001,66.97773517864628
42,3,2.0,991,1215,128,2.583055570913793e-05,0.064,0.064,991,991,991,8,8,6.096,6.696,6.696
43,3,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
44,2,1.0,11169,11393,128,1.9314727484418893e-06,0.032,0.032,11169,11169,11169,9,9,3.048,3.3855,3.3855
45,2,2.0,3775,3999,128,4.809673886552115e-06,0.064,0.064,3775,3775,3775,8,8,6.096,6.696,6.696
46,3,1.0,11583,11807,128,1.9314727484418893e-06,0.032,0.032,11583,11583,11583,16,16,3.048,3.648,3.648
47,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
48,3,1.0,5575,5799,128,1.0373055555555563e-05,0.032,0.032,5575,5575,5575,8,8,3.048,3.348,3.348
49,2,2.0,6787,7011,128,4.809673886552115e-06,0.064,0.064,6787,6787,6787,13,13,6.096,7.071,7.963851349886109
50,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
51,0,1.0,1181,1405,128,1.0373055555555563e-05,0.032,0.032,1181,1181,1181,8,8,3.048,3.348,3.348
52,2,4.0,577,801,128,1.267884595625219e-05,0.128,0.128,577,577,577,8,8,12.192,13.392,13.392
53,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
54,3,1.0,7312,7992,584,8.242161906738424e-05,0.146,0.146,7312,7312,7312,48,48,63.8385,65.63850000000001,66.91984187354872
55,2,1.0,7499,7596,1,3.770217498256928e-07,0.00025,0.00025,7499,7499,7499,0,0,0.0,0.0,0.002103281251452521
56,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
57,0,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
58,3,1.0,3945,4046,5,5.089282462185221e-06,0.00125,0.00125,3945,3945,3945,0,0,0.00375,0.00375,0.00375
59,1,2.0,870,1094,128,2.583055570913793e-05,0.064,0.064,870,870,870,8,8,6.096,6.696,6.696
60,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
61,1,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
62,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
63,1,1.0,9748,9846,2,5.85e-07,0.0005,0.0005,9748,9748,9748,0,0,0.000375,0.000375,0.0013637493043829742
64,0,1.0,5247,5350,7,5.9506949454663995e-06,0.00175,0.00175,5247,5256,5256,6,0,0.007875,0.0315,0.0315
65,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
66,1,1.0,1127,1807,584,3.379861111111111e-05,0.146,0.146,1127,1127,1127,49,49,63.8385,65.676,65.676
67,3,1.0,1065,1289,128,1.9314727484418893e-06,0.032,0.032,1065,1065,1065,8,8,3.048,3.348,3.348
68,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
69,3,1.0,1389,1613,128,1.0373055555555563e-05,0.032,0.032,1389,1389,1389,16,16,3.048,3.648,3.648
70,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
71,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
72,3,1.0,6145,6308,67,2.777608250796142e-06,0.01675,0.01675,6145,6145,6145,4,4,0.829125,0.979125,1.21736845821398
73,0,1.0,8769,8993,128,1.0373055555555563e-05,0.032,0.032,8769,8769,8769,9,9,3.048,3.3855,3.6494566303305946
