comparison,metric,joint_minus_comparator_mean,ci_2.5,ci_97.5,bootstrap_replications,block_length_days
total-budget-only ensemble,false_credit_ratio_mean,0.0,0.0,0.0,5000,3
total-budget-only ensemble,false_credit_ratio_cvar,0.0,0.0,0.0,5000,3
total-budget-only ensemble,false_credit_ratio_q90,0.0,0.0,0.0,5000,3
total-budget-only ensemble,false_credit_mwh_mean,0.0,0.0,0.0,5000,3
total-budget-only ensemble,false_credit_mwh_cvar,0.0,0.0,0.0,5000,3
total-budget-only ensemble,false_credit_mwh_q90,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_ratio_mean,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_ratio_cvar,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_ratio_q90,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_mwh_mean,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_mwh_cvar,0.0,0.0,0.0,5000,3
CVaR-only ensemble,false_credit_mwh_q90,0.0,0.0,0.0,5000,3
