comparator,metric,effect_direction,comparator_mean,proposed_mean,paired_mean_improvement,relative_improvement_percent,moving_block_ci_2.5,moving_block_ci_97.5,paired_days,block_length_days,blocks,observed_mean_difference,extreme_assignments,total_sign_assignments,minimum_attainable_two_sided_p,two_sided_exact_p_value,block_sum_lag1_autocorrelation,holm_adjusted_p_value
High-5-of-10,nrmse,comparator_minus_proposed,4.214370508655282,0.3433816707534209,3.87098883790186,91.85212429594881,3.360975645499526,4.539735671662793,54,3,18,3.87098883790186,2,262144,7.62939453125e-06,7.62939453125e-06,0.29831271673534215,5.340576171875e-05
High-5-of-10,false_response_mwh,comparator_minus_proposed,172.7089227575331,1.716936404385007,170.9919863531481,99.00587857478828,144.34690592270042,195.68350158687934,54,3,18,170.9919863531481,2,262144,7.62939453125e-06,7.62939453125e-06,0.9070186614893354,5.340576171875e-05
High-5-of-10,credit_f1,proposed_minus_comparator,0.1438533604600676,0.44163059417636497,0.29777723371629733,207.00054052540372,0.19954775604777525,0.3948047140401715,54,3,18,0.29777723371629733,6,262144,7.62939453125e-06,2.288818359375e-05,0.7216785473081311,0.0001373291015625
Metadata Gradient Boosting,nrmse,comparator_minus_proposed,2.132880396331526,0.3433816707534209,1.789498725578105,83.9005660446772,1.5567175120191636,2.062018394370651,54,3,18,1.789498725578105,2,262144,7.62939453125e-06,7.62939453125e-06,0.20520116071556302,5.340576171875e-05
Metadata Gradient Boosting,false_response_mwh,comparator_minus_proposed,90.5894154959441,1.716936404385007,88.8724790915591,98.10470528484439,76.94676450502989,99.2256101081253,54,3,18,88.8724790915591,2,262144,7.62939453125e-06,7.62939453125e-06,0.7245227253340821,5.340576171875e-05
Metadata Gradient Boosting,credit_f1,proposed_minus_comparator,0.2644502686339565,0.44163059417636497,0.17718032554240842,66.99948782720115,0.06793724941872527,0.2831403905289135,54,3,18,0.17718032554240842,1444,262144,7.62939453125e-06,0.0055084228515625,0.6825499450733502,0.02203369140625
Ex-post Metadata Gradient Boosting,nrmse,comparator_minus_proposed,2.1236523448704627,0.3433816707534209,1.780270674117042,83.8306080756186,1.518902004811197,2.09600510091855,54,3,18,1.780270674117042,2,262144,7.62939453125e-06,7.62939453125e-06,0.29387544185287223,5.340576171875e-05
Ex-post Metadata Gradient Boosting,false_response_mwh,comparator_minus_proposed,91.60326532252623,1.716936404385007,89.88632891814122,98.12568209403908,75.41488289326355,103.4788921662299,54,3,18,89.88632891814122,2,262144,7.62939453125e-06,7.62939453125e-06,0.8126589469363097,5.340576171875e-05
Ex-post Metadata Gradient Boosting,credit_f1,proposed_minus_comparator,0.26741340977764494,0.44163059417636497,0.17421718439871997,65.14900825040229,0.06279579060621063,0.29142235694263413,54,3,18,0.17421718439871997,2218,262144,7.62939453125e-06,0.00846099853515625,0.6947767698252991,0.02538299560546875
Ex-post Quantile Gradient Boosting,nrmse,comparator_minus_proposed,0.9444731654157017,0.3433816707534209,0.601091494662281,63.64304637471788,0.3275508395835139,0.9643376291632586,54,3,18,0.601091494662281,50,262144,7.62939453125e-06,0.00019073486328125,0.4333458421279848,0.00057220458984375
Ex-post Quantile Gradient Boosting,false_response_mwh,comparator_minus_proposed,24.15631480943075,1.716936404385007,22.439378405045744,92.89239100446437,14.253533994750063,33.17239251992889,54,3,18,22.439378405045744,6,262144,7.62939453125e-06,2.288818359375e-05,0.3471288748999751,6.866455078125e-05
Ex-post Quantile Gradient Boosting,credit_f1,proposed_minus_comparator,0.5316263338443133,0.44163059417636497,-0.08999573966794844,-16.92838257600378,-0.1838844084305958,0.0006847679609457905,54,3,18,-0.08999573966794844,17210,262144,7.62939453125e-06,0.06565093994140625,0.6759597060222712,0.1313018798828125
Synthetic Control,nrmse,comparator_minus_proposed,2.552037287594039,0.3433816707534209,2.2086556168406184,86.54480197359705,1.7908997103439823,2.694713779452883,54,3,18,2.2086556168406184,2,262144,7.62939453125e-06,7.62939453125e-06,0.2415553949741902,5.340576171875e-05
Synthetic Control,false_response_mwh,comparator_minus_proposed,101.83505710089368,1.716936404385007,100.11812069650867,98.31400261043312,78.59495024378988,120.33697277257806,54,3,18,100.11812069650867,2,262144,7.62939453125e-06,7.62939453125e-06,0.8474254698716509,5.340576171875e-05
Synthetic Control,credit_f1,proposed_minus_comparator,0.20626312154014823,0.44163059417636497,0.23536747263621682,114.11030283976554,0.1258693346148606,0.3438486403313625,54,3,18,0.23536747263621682,246,262144,7.62939453125e-06,0.00093841552734375,0.7747214102974668,0.00469207763671875
Feasible Quantile Projection,nrmse,comparator_minus_proposed,0.3213704879915091,0.3433816707534209,-0.022011182761911895,-6.849161196934005,-0.06317846849306107,0.01668396026746543,54,3,18,-0.022011182761911895,81948,262144,7.62939453125e-06,0.3126068115234375,0.15382031385125408,0.3126068115234375
Feasible Quantile Projection,false_response_mwh,comparator_minus_proposed,2.9174711552145474,1.716936404385007,1.2005347508295403,41.14984131664035,0.6965897290877603,1.8492486250555693,54,3,18,1.2005347508295403,140,262144,7.62939453125e-06,0.0005340576171875,-0.4594823291125373,0.001068115234375
Feasible Quantile Projection,credit_f1,proposed_minus_comparator,0.5080477254230448,0.44163059417636497,-0.06641713124667976,-13.073010255360376,-0.09439246430762542,-0.04056178297939154,54,3,18,-0.06641713124667976,2,262144,7.62939453125e-06,7.62939453125e-06,-0.023962265840925773,5.340576171875e-05
Single Feasible Projection,nrmse,comparator_minus_proposed,0.3452089804915102,0.3433816707534209,0.001827309738089387,0.5293343572602469,3.935586642998809e-05,0.0049932325010912815,54,3,18,0.001827309738089387,14080,262144,7.62939453125e-06,0.0537109375,-0.11788086752753384,0.107421875
Single Feasible Projection,false_response_mwh,comparator_minus_proposed,1.8492111356968028,1.716936404385007,0.132274731311796,7.153035624672109,0.007501743350118515,0.31990182348280377,54,3,18,0.132274731311796,2432,262144,7.62939453125e-06,0.00927734375,-0.14781397307895613,0.00927734375
Single Feasible Projection,credit_f1,proposed_minus_comparator,0.44155765212298137,0.44163059417636497,7.294205338359715e-05,0.016519259270651603,-0.0006717888140860096,0.0016863573437259742,54,3,18,7.294205338359715e-05,234336,262144,7.62939453125e-06,0.8939208984375,0.11192333434924319,0.8939208984375
