day,risk_profile_event_deviation_from_single_mw,risk_profile_is_distinct_from_single,contract_profile_event_deviation_from_risk_mw,upper_margin_min_mw,lower_margin_min_mw,declared_band_tolerance_mw,false_credit_mwh,under_credit_mwh,single_reference_under_credit_mwh,pointwise_upper_bound_satisfied,pointwise_lower_bound_satisfied
61,2.136584362135602,1.0,1.5023531183371681,-7.105427357601002e-15,0.0,0.0,0.92906001634746,23.817286775277324,18.766142337138014,1.0,1.0
62,6.207428144968517,1.0,4.37600169045036,-2.842170943040401e-14,0.0,0.0,0.0,28.127939274016562,15.075012457821028,1.0,1.0
63,5.877582311637447,1.0,2.5888510488955823,-1.4210854715202004e-14,0.0,0.0,0.0,57.32439646489972,46.228384826140854,1.0,1.0
64,4.742370847760784,1.0,3.31705353323033,-4.973799150320701e-14,0.0,0.0,0.0,65.2792790129644,54.86527954058367,1.0,1.0
65,0.32425938557586353,1.0,0.29067860730930045,-3.552713678800501e-15,0.0,0.0,0.284619920458542,20.1776627161703,19.9090164900378,1.0,1.0
66,0.4912024850786131,1.0,0.1593735919834894,-1.7763568394002505e-15,0.0,0.0,0.16700768631574303,22.066623855596873,19.513520889514805,1.0,1.0
67,0.09119907915445666,1.0,0.0037760014161031252,0.0,0.0,0.0,0.5831397167199164,20.887338708790487,20.48904334853175,1.0,1.0
68,1.7116524725787898,1.0,1.3048107348017162,0.0,0.0,0.0,0.2109828174185282,20.44071388516909,17.185979982952507,1.0,1.0
69,4.910083524354568,1.0,3.534775236178232,-2.1316282072803006e-14,0.0,0.0,0.0,41.4995134530692,30.49704714765852,1.0,1.0
70,4.776104244699602,1.0,2.442714019177571,0.0,0.0,0.0,0.40791200656605753,44.68538722239545,26.558642559089527,1.0,1.0
71,6.581045118612524,1.0,3.156419594585071,0.0,-1.4210854715202004e-14,0.0,0.0,73.69041839508309,56.64351013955023,1.0,1.0
72,5.116592808346422,1.0,2.8653843590093486,-7.105427357601002e-15,0.0,0.0,0.0,26.388206535988832,13.24485029689872,1.0,1.0
73,4.40675504635163,1.0,2.426450375188141,0.0,0.0,0.0,0.0,64.5163453773574,49.33075481647863,1.0,1.0
74,3.573922682499603,1.0,1.7247321968078002,0.0,0.0,0.0,0.40375107269928856,52.466484952513824,38.82665599540936,1.0,1.0
75,5.600991194141605,1.0,3.714049848458084,0.0,0.0,0.0,0.23881820513882346,63.98292748864077,48.8873967231726,1.0,1.0
76,3.904598674201295,1.0,2.1117331845359213,0.0,0.0,0.0,0.21770258248698937,51.1069845966563,36.765008570994,1.0,1.0
77,0.04788870171489257,1.0,0.047888701714892484,0.0,0.0,0.0,0.5402871531620013,15.170757856857286,15.170757856857284,1.0,1.0
78,0.808268499396738,1.0,0.43506979846143645,0.0,-1.2934542326092924e-11,0.0,0.16646069003649933,26.89106462532434,24.0570979604595,1.0,1.0
79,3.766004779350502,1.0,2.478603357981112,-2.1316282072803006e-14,0.0,0.0,0.0,34.35434422686561,24.948929511865696,1.0,1.0
80,3.68303858056934,1.0,1.803870600518197,0.0,-2.2999380178134743e-11,0.0,0.3425507783876309,46.45060388934054,35.24836759894596,1.0,1.0
81,8.493857135929229,1.0,4.294225968943502,0.0,0.0,0.0,3.808780607755857,69.96521030728148,44.578164195734715,1.0,1.0
82,7.220414484694949,1.0,2.480264364598945,0.0,0.0,0.0,0.0,56.62238438485096,33.06019101586534,1.0,1.0
83,2.8875407971228775,1.0,0.27256461120343056,0.0,-7.105427357601002e-15,0.0,0.0839441836572763,38.36303767995625,17.95817721998013,1.0,1.0
84,0.040817935740376815,1.0,0.040817935740376815,0.0,0.0,0.0,0.2563433204133583,18.957893161940653,18.957893161940653,1.0,1.0
85,3.74136950694373,1.0,2.549742151124554,-2.4868995751603507e-14,-3.552713678800501e-15,0.0,0.0,37.69039465830734,31.62672007005571,1.0,1.0
86,4.416881839393779,1.0,1.8618868965907776,-2.4868995751603507e-14,0.0,0.0,0.013753986097796655,55.06824256167489,38.55614727704803,1.0,1.0
87,7.803183267205653,1.0,4.549134815959036,-7.105427357601002e-15,0.0,0.0,2.6527432697222455,67.27129928780656,41.23891167783362,1.0,1.0
88,9.57399004905107,1.0,2.3034563864330533,0.0,0.0,0.0,0.0,72.27161432152582,36.80914657933081,1.0,1.0
89,4.323846934421653,1.0,0.33423559406750414,0.0,0.0,0.0,0.38936649218900876,51.14244082196372,22.87063305276611,1.0,1.0
90,0.05849984508573172,1.0,0.05849984508573172,0.0,0.0,0.0,0.2439127575354061,22.444667362795897,22.444667362795897,1.0,1.0
91,3.631984166784737,1.0,2.726802906474238,0.0,0.0,0.0,0.0,51.42012992828858,44.1786798458046,1.0,1.0
92,0.005389580312208042,1.0,0.005389580312208042,-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.07428251648778783,18.694054094985923,18.694054094985923,1.0,1.0
93,5.1209037010835345e-14,0.0,5.1209037010835345e-14,0.0,0.0,0.0,0.0,23.267177466773067,23.267177466773067,1.0,1.0
94,4.9210635566510064e-14,0.0,4.9210635566510064e-14,0.0,0.0,0.0,0.0,7.66902221023273,7.66902221023273,1.0,1.0
95,5.367928324062632e-14,0.0,5.367928324062632e-14,0.0,0.0,0.0,0.0,19.972533787734513,19.972533787734513,1.0,1.0
96,5.104250355714157e-14,0.0,5.104250355714157e-14,0.0,0.0,0.0,0.0,15.520279976578307,15.520279976578307,1.0,1.0
97,5.029310301551959e-14,0.0,5.029310301551959e-14,0.0,0.0,0.0,0.0,9.21060618291098,9.21060618291098,1.0,1.0
98,5.0931481254679056e-14,0.0,5.0931481254679056e-14,-5.1514348342607263e-14,-5.1514348342607263e-14,0.0,0.0,5.76176573557918,5.761765735579194,1.0,1.0
99,4.9932280532516415e-14,0.0,4.9932280532516415e-14,0.0,0.0,0.0,0.0,5.567418203033178,5.567418203033178,1.0,1.0
100,4.835021272242557e-14,0.0,4.835021272242557e-14,0.0,0.0,0.0,0.0,8.386429784334817,8.386429784334817,1.0,1.0
101,4.85722573273506e-14,0.0,4.85722573273506e-14,0.0,0.0,0.0,0.0,17.745320356410225,17.745320356410225,1.0,1.0
102,0.19569068813837853,1.0,0.19569068813837853,0.0,0.0,0.0,1.6563592797772593,17.183351817286145,17.183351817286145,1.0,1.0
103,0.8195190777536107,1.0,5.803968416984162e-13,0.0,-1.8523849121265812e-11,0.0,5.776360549854447,52.72901622119153,49.963706032072544,1.0,1.0
104,0.0982938260058768,1.0,3.4611202792689255e-14,0.0,0.0,0.0,1.3992550235082695,30.251881171199763,30.251881171199763,1.0,1.0
105,4.9155124415278806e-14,0.0,4.9155124415278806e-14,0.0,0.0,0.0,0.0,0.9351602783791229,0.9351602783791229,1.0,1.0
106,4.8711035205428743e-14,0.0,4.8711035205428743e-14,0.0,0.0,0.0,0.0,3.2845919822343155,3.2845919822343155,1.0,1.0
107,0.08688657578095232,1.0,0.08688657578095232,0.0,0.0,0.0,1.092659116182379,7.667665260789187,7.667665260789187,1.0,1.0
108,4.909961326404755e-14,0.0,4.909961326404755e-14,0.0,0.0,0.0,0.0,4.967943351185907,4.967943351185907,1.0,1.0
109,5.076494780098528e-14,0.0,5.076494780098528e-14,0.0,0.0,0.0,0.0,12.06490430918035,12.06490430918035,1.0,1.0
110,1.041505965983809,1.0,0.7703005375416958,0.0,0.0,0.0,2.9211470830238033,45.71357891569163,43.79053063467819,1.0,1.0
111,1.3506204724610855,1.0,0.006217236216890271,0.0,-2.5989876917265065e-11,0.0,1.7878116856882205,78.94157219955537,72.13599042713483,1.0,1.0
112,5.3540505362548174e-14,0.0,5.3540505362548174e-14,0.0,0.0,0.0,0.0,13.481652226225751,13.481652226225751,1.0,1.0
