day,slot,baseline_method,nodal_signed_linear_usd,nodal_exact_net_value_usd,polyhedral_bregman_gap_usd,subgradient_inequality_violation_usd
61,64,High-5-of-10,1841.1947104116884,748.1498246452065,1093.044885766482,0.0
61,64,Ridge,1270.075104329738,763.3732802686463,506.70182406109166,0.0
61,64,Gradient Boosting,686.8430487003444,669.9889854743997,16.854063225944742,0.0
61,64,Extra Trees,1964.167118671156,871.1222329046759,1093.04488576648,0.0
61,64,Metadata Gradient Boosting,588.2088891332673,571.3548259073214,16.854063225945993,0.0
61,64,Ex-post Metadata Gradient Boosting,618.5120998649381,601.6580366389935,16.85406322594463,0.0
61,64,Ex-post Quantile Gradient Boosting,266.0787786832248,266.07877868322976,-4.945377440890297e-12,4.945377440890297e-12
61,64,Synthetic Control,1051.6275880242893,544.9257639632015,506.7018240610878,0.0
61,64,Feasible Quantile Projection,34.05907690807242,34.05907690806998,2.4371615836571436e-12,0.0
61,64,Tail-Risk Feasible Counterfactual,9.551669054879735,9.551669054875674,4.0607517348689726e-12,0.0
61,64,Single Feasible Projection,-0.00037420936005005956,-0.00037420936132548377,1.2754242106893798e-12,0.0
61,64,Risk-Constrained Convex Verifier,-0.00037420936005005956,-0.00037420936132548377,1.2754242106893798e-12,0.0
61,64,Trace-Anchored Reference,95.75788830401906,95.7578883040187,3.552713678800501e-13,0.0
61,65,High-5-of-10,1970.8739285007143,895.6887931854617,1075.1851353152526,0.0
61,65,Ridge,633.9011847271908,581.0913002717934,52.80988445539731,0.0
61,65,Gradient Boosting,471.26482167840726,457.1186537308349,14.146167947572337,0.0
61,65,Extra Trees,397.5750591457393,394.44293036635645,3.1321287793828674,0.0
61,65,Metadata Gradient Boosting,520.6249792063658,506.4788112587921,14.146167947573645,0.0
61,65,Ex-post Metadata Gradient Boosting,543.3976491173928,529.2514811698165,14.14616794757626,0.0
61,65,Ex-post Quantile Gradient Boosting,8.316019330774768,8.316019330773997,7.709388682997087e-13,0.0
61,65,Synthetic Control,2028.9362841293598,953.7511488141099,1075.18513531525,0.0
61,65,Feasible Quantile Projection,-0.0017562244596642795,-0.0017562244611326605,1.468380972369232e-12,0.0
61,65,Tail-Risk Feasible Counterfactual,-0.0010292742169935587,-0.0010292742153978907,-1.5956680421425062e-12,1.5956680421425062e-12
61,65,Single Feasible Projection,-0.0007555959613085861,-0.0007555959600722417,-1.2363443602225743e-12,1.2363443602225743e-12
61,65,Risk-Constrained Convex Verifier,-0.0007555959613085861,-0.0007555959600722417,-1.2363443602225743e-12,1.2363443602225743e-12
61,65,Trace-Anchored Reference,94.9871761156663,94.98717611566462,1.6768808563938364e-12,0.0
61,66,High-5-of-10,1799.877195429069,742.2113236717923,1057.6658717572766,0.0
61,66,Ridge,554.4901907989837,504.4375683036196,50.05262249536406,0.0
61,66,Gradient Boosting,355.0316752344918,352.61315673063655,2.418518503855239,0.0
61,66,Extra Trees,881.7088567902257,383.5104065530395,498.1984502371862,0.0
61,66,Metadata Gradient Boosting,431.32396890125204,419.79830430541915,11.525664595832893,0.0
61,66,Ex-post Metadata Gradient Boosting,465.4056303916687,453.8799657958334,11.52566459583528,0.0
61,66,Ex-post Quantile Gradient Boosting,-50.742036579434455,-50.742036579427804,-6.650680006714538e-12,6.650680006714538e-12
61,66,Synthetic Control,1768.4013141631208,710.7354424058431,1057.6658717572777,0.0
61,66,Feasible Quantile Projection,-0.0181516999721246,-0.018151699965528678,-6.595921725471854e-12,6.595921725471854e-12
61,66,Tail-Risk Feasible Counterfactual,-0.005985824330588925,-0.0059858243257622235,-4.826701538451772e-12,4.826701538451772e-12
61,66,Single Feasible Projection,-0.0012494915065204282,-0.0012494914990384132,-7.482015007553855e-12,7.482015007553855e-12
61,66,Risk-Constrained Convex Verifier,-0.0012494915065204282,-0.0012494914990384132,-7.482015007553855e-12,7.482015007553855e-12
61,66,Trace-Anchored Reference,87.36217101928051,87.36217101928924,-8.72546479513403e-12,8.72546479513403e-12
61,67,High-5-of-10,1583.3898369263507,533.68601841692,1049.7038185094307,0.0
61,67,Ridge,1099.327173349289,603.0509985302997,496.2761748189894,0.0
61,67,Gradient Boosting,479.4255069280499,469.09458010190065,10.330926826149266,0.0
61,67,Extra Trees,1727.5218125682693,677.8179940588343,1049.703818509435,0.0
61,67,Metadata Gradient Boosting,407.320836443583,396.9899096174413,10.330926826141706,0.0
61,67,Ex-post Metadata Gradient Boosting,388.14540596373286,377.8144791375853,10.33092682614756,0.0
61,67,Ex-post Quantile Gradient Boosting,-76.475976539743,-76.47597653974663,3.623767952376511e-12,0.0
61,67,Synthetic Control,1743.1097226720494,693.4059041626133,1049.7038185094361,0.0
61,67,Feasible Quantile Projection,-0.0016646037634018285,-0.0016646037620375864,-1.3642420526593924e-12,1.3642420526593924e-12
61,67,Tail-Risk Feasible Counterfactual,-0.0015985701574560483,-0.0015985701538738795,-3.582168849741718e-12,3.582168849741718e-12
61,67,Single Feasible Projection,-0.0015773590540959503,-0.001577359053044347,-1.0516032489249483e-12,1.0516032489249483e-12
61,67,Risk-Constrained Convex Verifier,-0.0015773590540959503,-0.001577359053044347,-1.0516032489249483e-12,1.0516032489249483e-12
61,67,Trace-Anchored Reference,84.79974569623958,84.79974569624392,-4.334310688136611e-12,4.334310688136611e-12
61,68,High-5-of-10,2147.4056125619627,1181.0631351002812,966.3424774616815,0.0
61,68,Ridge,1771.41668246196,805.0742050002773,966.3424774616826,0.0
61,68,Gradient Boosting,578.6318598265553,578.6318598265534,1.9326762412674725e-12,0.0
61,68,Extra Trees,1893.0352798565114,926.6928023948385,966.3424774616728,0.0
