baseline_method,factor,mean_error_reduction_usd,median_error_reduction_usd,paired_days,block_length_days,blocks,observed_mean_difference,extreme_assignments,total_sign_assignments,minimum_attainable_two_sided_p,two_sided_exact_p_value,block_sum_lag1_autocorrelation
High-5-of-10,gross_to_signed_error_reduction_usd,1789.7535895805615,1033.574786735895,54,3,18,1789.7535895805615,2,262144,7.62939453125e-06,7.62939453125e-06,0.1406567773607654
High-5-of-10,uniform_to_nodal_error_reduction_usd,0.31127459220347736,0.3569376363343508,54,3,18,0.31127459220347736,2,262144,7.62939453125e-06,7.62939453125e-06,-0.18263584689386742
High-5-of-10,linear_to_exact_error_reduction_usd,29.98397556334366,24.58916226896099,54,3,18,29.98397556334366,2,262144,7.62939453125e-06,7.62939453125e-06,-0.006064836221559279
High-5-of-10,uniform_gross_to_exact_error_reduction_usd,1820.085598434096,1081.6474349486025,54,3,18,1820.085598434096,2,262144,7.62939453125e-06,7.62939453125e-06,0.1501643124707
Ridge,gross_to_signed_error_reduction_usd,1205.5381726960056,649.5798132151785,54,3,18,1205.5381726960056,4,262144,7.62939453125e-06,1.52587890625e-05,-0.0745990844116151
Ridge,uniform_to_nodal_error_reduction_usd,0.24296156072653344,0.27121050384812406,54,3,18,0.24296156072653344,2,262144,7.62939453125e-06,7.62939453125e-06,0.44358372352870284
Ridge,linear_to_exact_error_reduction_usd,26.641178057666096,21.560610608121124,54,3,18,26.641178057666096,2,262144,7.62939453125e-06,7.62939453125e-06,0.19473466003318696
Ridge,uniform_gross_to_exact_error_reduction_usd,1232.4341423605947,704.3433465872399,54,3,18,1232.4341423605947,2,262144,7.62939453125e-06,7.62939453125e-06,-0.06398512237609781
Gradient Boosting,gross_to_signed_error_reduction_usd,1559.414370284975,906.6463388532112,54,3,18,1559.414370284975,2,262144,7.62939453125e-06,7.62939453125e-06,0.20170634339142993
Gradient Boosting,uniform_to_nodal_error_reduction_usd,0.23851653138270917,0.2903632972120249,54,3,18,0.23851653138270917,2,262144,7.62939453125e-06,7.62939453125e-06,-0.24184630033131857
Gradient Boosting,linear_to_exact_error_reduction_usd,20.706698995299124,17.164247630761565,54,3,18,20.706698995299124,2,262144,7.62939453125e-06,7.62939453125e-06,0.10951503302544346
Gradient Boosting,uniform_gross_to_exact_error_reduction_usd,1580.416600768038,920.5072463730785,54,3,18,1580.416600768038,2,262144,7.62939453125e-06,7.62939453125e-06,0.209983493763267
Extra Trees,gross_to_signed_error_reduction_usd,1432.451043234361,849.3641634792978,54,3,18,1432.451043234361,2,262144,7.62939453125e-06,7.62939453125e-06,-0.05551987533411577
Extra Trees,uniform_to_nodal_error_reduction_usd,0.2269878321723074,0.28259993744700296,54,3,18,0.2269878321723074,2,262144,7.62939453125e-06,7.62939453125e-06,-0.36303893873447146
Extra Trees,linear_to_exact_error_reduction_usd,18.34119733974794,17.447883128445937,54,3,18,18.34119733974794,6,262144,7.62939453125e-06,2.288818359375e-05,0.06219393702197975
Extra Trees,uniform_gross_to_exact_error_reduction_usd,1451.091162034369,865.8387802397815,54,3,18,1451.091162034369,2,262144,7.62939453125e-06,7.62939453125e-06,-0.04289837834439275
Metadata Gradient Boosting,gross_to_signed_error_reduction_usd,1681.3075571495424,1003.5237535262185,54,3,18,1681.3075571495424,2,262144,7.62939453125e-06,7.62939453125e-06,0.18017202096573837
Metadata Gradient Boosting,uniform_to_nodal_error_reduction_usd,0.2926509339599687,0.32790449033632285,54,3,18,0.2926509339599687,2,262144,7.62939453125e-06,7.62939453125e-06,0.39064233885266686
Metadata Gradient Boosting,linear_to_exact_error_reduction_usd,19.523970481705327,15.357421673184717,54,3,18,19.523970481705327,2,262144,7.62939453125e-06,7.62939453125e-06,-0.022590494213553528
Metadata Gradient Boosting,uniform_gross_to_exact_error_reduction_usd,1701.1372546074374,1024.9286633961592,54,3,18,1701.1372546074374,2,262144,7.62939453125e-06,7.62939453125e-06,0.1769068081040916
Ex-post Metadata Gradient Boosting,gross_to_signed_error_reduction_usd,1708.2739856302917,980.5166629332359,54,3,18,1708.2739856302917,2,262144,7.62939453125e-06,7.62939453125e-06,0.22353451888727546
Ex-post Metadata Gradient Boosting,uniform_to_nodal_error_reduction_usd,0.2848419666236221,0.32099987173432964,54,3,18,0.2848419666236221,2,262144,7.62939453125e-06,7.62939453125e-06,0.5109917701633926
Ex-post Metadata Gradient Boosting,linear_to_exact_error_reduction_usd,18.577825104562248,13.548423339682358,54,3,18,18.577825104562248,2,262144,7.62939453125e-06,7.62939453125e-06,-0.04572495558798947
Ex-post Metadata Gradient Boosting,uniform_gross_to_exact_error_reduction_usd,1727.1462953696287,997.4070241083789,54,3,18,1727.1462953696287,2,262144,7.62939453125e-06,7.62939453125e-06,0.22159132131295267
Ex-post Quantile Gradient Boosting,gross_to_signed_error_reduction_usd,1620.9961905246582,986.6549685469172,54,3,18,1620.9961905246582,2,262144,7.62939453125e-06,7.62939453125e-06,0.2575662834793946
Ex-post Quantile Gradient Boosting,uniform_to_nodal_error_reduction_usd,0.26361242589473216,0.3350108763975186,54,3,18,0.26361242589473216,2,262144,7.62939453125e-06,7.62939453125e-06,0.6053187799322949
Ex-post Quantile Gradient Boosting,linear_to_exact_error_reduction_usd,15.043889770228695,13.885298363623633,54,3,18,15.043889770228695,24,262144,7.62939453125e-06,9.1552734375e-05,0.22364241039034644
Ex-post Quantile Gradient Boosting,uniform_gross_to_exact_error_reduction_usd,1636.3197648172365,1014.3023618114466,54,3,18,1636.3197648172365,2,262144,7.62939453125e-06,7.62939453125e-06,0.2590220393497892
Synthetic Control,gross_to_signed_error_reduction_usd,1802.1540074669076,996.9580955600595,54,3,18,1802.1540074669076,2,262144,7.62939453125e-06,7.62939453125e-06,0.2768355408119188
Synthetic Control,uniform_to_nodal_error_reduction_usd,0.20976871921126714,0.33612135565141443,54,3,18,0.20976871921126714,4,262144,7.62939453125e-06,1.52587890625e-05,0.5839884676900651
Synthetic Control,linear_to_exact_error_reduction_usd,12.362052926047461,8.066248830222548,54,3,18,12.362052926047461,170,262144,7.62939453125e-06,0.00064849853515625,0.267470522381974
Synthetic Control,uniform_gross_to_exact_error_reduction_usd,1814.795930248004,998.4231352677239,54,3,18,1814.795930248004,2,262144,7.62939453125e-06,7.62939453125e-06,0.27891275207771815
Feasible Quantile Projection,gross_to_signed_error_reduction_usd,111.83653731893904,-29.67768558989998,54,3,18,111.83653731893904,43790,262144,7.62939453125e-06,0.16704559326171875,-0.69358527000172
Feasible Quantile Projection,uniform_to_nodal_error_reduction_usd,-0.1695934991287634,-0.001009429951011498,54,3,18,-0.1695934991287634,132664,262144,7.62939453125e-06,0.506072998046875,-0.016453562077337124
Feasible Quantile Projection,linear_to_exact_error_reduction_usd,0.9891519542814581,-4.618527782440651e-13,54,3,18,0.9891519542814581,62102,262144,7.62939453125e-06,0.23690032958984375,-0.10884023224424628
Feasible Quantile Projection,uniform_gross_to_exact_error_reduction_usd,113.30976680134238,-29.677893455386524,54,3,18,113.30976680134238,43610,262144,7.62939453125e-06,0.16635894775390625,-0.6890323372253507
Tail-Risk Feasible Counterfactual,gross_to_signed_error_reduction_usd,255.09904897878118,-6.434209366547776,54,3,18,255.09904897878118,3364,262144,7.62939453125e-06,0.0128326416015625,-0.48769666632870073
Tail-Risk Feasible Counterfactual,uniform_to_nodal_error_reduction_usd,0.03440162969541042,-0.006513839587512393,54,3,18,0.03440162969541042,261452,262144,7.62939453125e-06,0.9973602294921875,-0.05715200801871793
Tail-Risk Feasible Counterfactual,linear_to_exact_error_reduction_usd,0.8885748377823965,-2.0030199721077224e-11,54,3,18,0.8885748377823965,65530,262144,7.62939453125e-06,0.24997711181640625,-0.13403789413500528
Tail-Risk Feasible Counterfactual,uniform_gross_to_exact_error_reduction_usd,256.16781473240377,-6.608734732199935,54,3,18,256.16781473240377,3374,262144,7.62939453125e-06,0.01287078857421875,-0.4890366249332425
Single Feasible Projection,gross_to_signed_error_reduction_usd,111.34802651838064,-29.7934264629949,54,3,18,111.34802651838064,44486,262144,7.62939453125e-06,0.16970062255859375,-0.6950042899462766
Single Feasible Projection,uniform_to_nodal_error_reduction_usd,-0.3689859669820287,-0.0008408826930406121,54,3,18,-0.3689859669820287,132018,262144,7.62939453125e-06,0.5036087036132812,-0.031596654739204116
Single Feasible Projection,linear_to_exact_error_reduction_usd,1.3410563877843158,-1.3073986337985843e-12,54,3,18,1.3410563877843158,94876,262144,7.62939453125e-06,0.3619232177734375,-0.08488958649631896
Single Feasible Projection,uniform_gross_to_exact_error_reduction_usd,113.16366094466427,-29.79340335110264,54,3,18,113.16366094466427,44388,262144,7.62939453125e-06,0.1693267822265625,-0.6885850333337681
Risk-Constrained Convex Verifier,gross_to_signed_error_reduction_usd,107.2969933124549,-29.793426462994915,54,3,18,107.2969933124549,47242,262144,7.62939453125e-06,0.18021392822265625,-0.687963683024402
