day,baseline_method,mechanism,payment_usd,realized_grid_value_usd,payment_error_usd,absolute_percentage_value_error,overpayment_ratio,congestion_relief_index
61,High-5-of-10,Uniform gross,9930.45199304268,1033.408575071182,8897.043417971498,8.609415126402123,0.8959353938979623,0.0006374075444036398
61,High-5-of-10,Nodal gross,10735.03337684698,1033.408575071182,9701.624801775799,9.387985580734652,0.9037349453146547,0.0006374075444036398
61,High-5-of-10,Uniform signed net,8877.585705440677,1033.408575071182,7844.177130369495,7.590586453019496,0.8835935118668748,0.0006374075444036398
61,High-5-of-10,Nodal signed linear,9686.411041433279,1033.408575071182,8653.002466362097,8.373263658825428,0.8933135739696764,0.0006374075444036398
61,High-5-of-10,Nodal exact net value,8500.638746634402,1033.408575071182,7467.23017156322,7.22582563343726,0.8784316560352207,0.0006374075444036398
61,Ridge,Uniform gross,8253.092253570909,1033.408575071182,7219.683678499727,6.986281953391406,0.8747852873419594,0.0006374075444036398
61,Ridge,Nodal gross,8270.082157033594,1033.408575071182,7236.673581962412,7.00272259833333,0.8750425261262632,0.0006374075444036398
61,Ridge,Uniform signed net,7719.622761329141,1033.408575071182,6686.214186257959,6.4700587430265974,0.8661322441495506,0.0006374075444036398
61,Ridge,Nodal signed linear,7736.8188476986625,1033.408575071182,6703.4102726274805,6.486698905286077,0.8664297826517455,0.0006374075444036398
61,Ridge,Nodal exact net value,7627.767009188206,1033.408575071182,6594.358434117024,6.381172551875525,0.8645201703425963,0.0006374075444036398
61,Gradient Boosting,Uniform gross,7090.772960544502,1033.408575071182,6057.36438547332,5.861538728818932,0.854260095363168,0.0006374075444036398
61,Gradient Boosting,Nodal gross,7090.32152546498,1033.408575071182,6056.912950393798,5.861101887969716,0.8542508162204377,0.0006374075444036398
61,Gradient Boosting,Uniform signed net,6214.348458673789,1033.408575071182,5180.939883602607,5.013447738466597,0.8337060462663977,0.0006374075444036398
61,Gradient Boosting,Nodal signed linear,6213.867069277514,1033.408575071182,5180.458494206332,5.01298191167951,0.8336931634439781,0.0006374075444036398
61,Gradient Boosting,Nodal exact net value,6149.845583253966,1033.408575071182,5116.437008182784,4.951030145874646,0.8319618661832495,0.0006374075444036398
61,Extra Trees,Uniform gross,9064.358709869393,1033.408575071182,8030.950134798211,7.771321361684108,0.885992091867901,0.0006374075444036398
61,Extra Trees,Nodal gross,9209.849205888615,1033.408575071182,8176.440630817433,7.912108364549068,0.8877931058403824,0.0006374075444036398
61,Extra Trees,Uniform signed net,7966.0068744587825,1033.408575071182,6932.5982993876005,6.708477621167482,0.8702726985606082,0.0006374075444036398
61,Extra Trees,Nodal signed linear,8112.587712485123,1033.408575071182,7079.179137413941,6.850319716890604,0.8726166530710312,0.0006374075444036398
61,Extra Trees,Nodal exact net value,7805.186055216407,1033.408575071182,6771.777480145225,6.552855901818678,0.8675997512729977,0.0006374075444036398
61,Metadata Gradient Boosting,Uniform gross,5592.895326061248,1033.408575071182,4559.486750990066,4.412085269058276,0.8152283361614507,0.0006374075444036398
61,Metadata Gradient Boosting,Nodal gross,5592.546814890011,1033.408575071182,4559.138239818829,4.4117480247391905,0.8152168217314233,0.0006374075444036398
61,Metadata Gradient Boosting,Uniform signed net,5158.017541543184,1033.408575071182,4124.608966472002,3.991266441918092,0.7996500464087206,0.0006374075444036398
61,Metadata Gradient Boosting,Nodal signed linear,5157.686205671503,1033.408575071182,4124.277630600321,3.990945817646459,0.7996371756903661,0.0006374075444036398
61,Metadata Gradient Boosting,Nodal exact net value,5134.737542909126,1033.408575071182,4101.328967837944,3.968739051304506,0.7987416948898821,0.0006374075444036398
61,Ex-post Metadata Gradient Boosting,Uniform gross,6111.2894579731455,1033.408575071182,5077.880882901964,4.913720483258227,0.830901713594512,0.0006374075444036398
61,Ex-post Metadata Gradient Boosting,Nodal gross,6110.889610122257,1033.408575071182,5077.481035051075,4.913333561898627,0.8308906491520623,0.0006374075444036398
61,Ex-post Metadata Gradient Boosting,Uniform signed net,5620.596948450302,1033.408575071182,4587.18837337912,4.438891338852255,0.8161390000832366,0.0006374075444036398
61,Ex-post Metadata Gradient Boosting,Nodal signed linear,5620.215710811768,1033.408575071182,4586.807135740586,4.438522426064292,0.8161265281894458,0.0006374075444036398
61,Ex-post Metadata Gradient Boosting,Nodal exact net value,5597.267048049376,1033.408575071182,4563.858472978194,4.416315659722325,0.8153726512957211,0.0006374075444036398
61,Ex-post Quantile Gradient Boosting,Uniform gross,1651.0203712757266,1033.408575071182,617.6117962045446,0.5976453177408587,0.37407884660279644,0.0006374075444036398
61,Ex-post Quantile Gradient Boosting,Nodal gross,1650.9529975637183,1033.408575071182,617.5444224925363,0.5975801221215911,0.3740533033973926,0.0006374075444036398
61,Ex-post Quantile Gradient Boosting,Uniform signed net,1107.9176220445534,1033.408575071182,74.50904697337137,0.07210027937714676,0.06725143231847168,0.0006374075444036398
