network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE 300-bus,0.9,61,Nodal exact net value,Risk-Constrained Convex Verifier,0.701540544105228,4029.890695770853,4029.189155226748,0.9998259157388955,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Nodal gross,Risk-Constrained Convex Verifier,1337.0165850482335,4029.890695770853,2692.8741107226197,0.6682250993925571,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Nodal signed linear,Risk-Constrained Convex Verifier,0.7015405441188136,4029.890695770853,4029.1891552267343,0.9998259157388921,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Uniform gross,Risk-Constrained Convex Verifier,1337.0165850482335,4029.890695770853,2692.8741107226197,0.6682250993925571,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Uniform signed net,Risk-Constrained Convex Verifier,0.7015405441188044,4029.890695770853,4029.1891552267343,0.9998259157388921,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Nodal exact net value,Trace-Anchored Reference,4038.704020631645,4029.890695770853,8.813324860791909,0.0021869885627520875,8.813324860791909,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Nodal gross,Trace-Anchored Reference,4847.024186848665,4029.890695770853,817.1334910778114,0.2027681524800034,817.1334910778114,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Nodal signed linear,Trace-Anchored Reference,4040.571372549914,4029.890695770853,10.680676779060832,0.0026503638895887696,10.680676779060832,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Uniform gross,Trace-Anchored Reference,4847.024186848664,4029.890695770853,817.1334910778105,0.20276815248000318,817.1334910778105,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,61,Uniform signed net,Trace-Anchored Reference,4040.571372549913,4029.890695770853,10.680676779059922,0.002650363889588544,10.680676779059922,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
