network,load_multiplier,baseline_quality,mechanism,mean_absolute_error_usd,median_normalized_error,mean_overpayment_usd,congestion_share
IEEE 300-bus,0.9,Risk-Constrained Convex Verifier,Nodal exact net value,1988.0663765138058,0.999999999999986,315.8665628587591,0.0
IEEE 300-bus,0.9,Risk-Constrained Convex Verifier,Nodal gross,2066.7026495874006,0.8900899320337037,1197.6777329118386,0.0
IEEE 300-bus,0.9,Risk-Constrained Convex Verifier,Nodal signed linear,1988.0629965722571,1.0,315.86924526002105,0.0
IEEE 300-bus,0.9,Risk-Constrained Convex Verifier,Uniform gross,2066.7026495874006,0.8900899320337037,1197.6777329118386,0.0
IEEE 300-bus,0.9,Risk-Constrained Convex Verifier,Uniform signed net,1988.0629965722571,1.0,315.86924526002105,0.0
IEEE 300-bus,0.9,Trace-Anchored Reference,Nodal exact net value,6.338146995786466,0.0017519731251768042,6.159044226253172,0.0
IEEE 300-bus,0.9,Trace-Anchored Reference,Nodal gross,2334.5936968424157,1.1534233291980835,2334.5936968424157,0.0
IEEE 300-bus,0.9,Trace-Anchored Reference,Nodal signed linear,10.032608667266159,0.0019694637565031755,10.018761977024475,0.0
IEEE 300-bus,0.9,Trace-Anchored Reference,Uniform gross,2334.5936968424157,1.1534233291980835,2334.5936968424157,0.0
IEEE 300-bus,0.9,Trace-Anchored Reference,Uniform signed net,10.032608667266107,0.0019694637565032804,10.018761977024425,0.0
IEEE 300-bus,0.98,Risk-Constrained Convex Verifier,Nodal exact net value,2255.3094582244084,0.9999999999999876,357.6911223780378,0.0
IEEE 300-bus,0.98,Risk-Constrained Convex Verifier,Nodal gross,2345.4562921293605,0.8907301144670157,1360.4615892109637,0.0
IEEE 300-bus,0.98,Risk-Constrained Convex Verifier,Nodal signed linear,2255.309458224425,1.0,357.69112237803563,0.0
IEEE 300-bus,0.98,Risk-Constrained Convex Verifier,Uniform gross,2345.4562921293605,0.8907301144670157,1360.4615892109637,0.0
IEEE 300-bus,0.98,Risk-Constrained Convex Verifier,Uniform signed net,2255.309458224425,1.0,357.6911223780356,0.0
IEEE 300-bus,0.98,Trace-Anchored Reference,Nodal exact net value,12.271426592747082,0.005899789946489396,12.152216055887509,0.0
IEEE 300-bus,0.98,Trace-Anchored Reference,Nodal gross,2657.792528020798,1.1575132014725549,2657.792528020798,0.0
IEEE 300-bus,0.98,Trace-Anchored Reference,Nodal signed linear,15.300982298940255,0.005992982364073189,15.190833530787916,0.0
IEEE 300-bus,0.98,Trace-Anchored Reference,Uniform gross,2657.792528020798,1.1575132014725544,2657.792528020798,0.0
IEEE 300-bus,0.98,Trace-Anchored Reference,Uniform signed net,15.300982298940218,0.005992982364073189,15.190833530787872,0.0
IEEE 300-bus,1.02,Risk-Constrained Convex Verifier,Nodal exact net value,2381.0836934900112,1.0000000000000098,376.59407598017856,0.0
IEEE 300-bus,1.02,Risk-Constrained Convex Verifier,Nodal gross,2473.4643200511787,0.8902833227195082,1432.1470660872214,0.0
IEEE 300-bus,1.02,Risk-Constrained Convex Verifier,Nodal signed linear,2381.0987386257616,1.0,376.61463725133643,0.0
IEEE 300-bus,1.02,Risk-Constrained Convex Verifier,Uniform gross,2473.4643200511787,0.8902833227195082,1432.1470660872214,0.0
IEEE 300-bus,1.02,Risk-Constrained Convex Verifier,Uniform signed net,2381.0987386257616,1.0,376.61463725133643,0.0
IEEE 300-bus,1.02,Trace-Anchored Reference,Nodal exact net value,7.993027757253946,0.00276955472626038,7.854112176454186,0.0
IEEE 300-bus,1.02,Trace-Anchored Reference,Nodal gross,2797.6905091976146,1.1511022633859778,2797.6905091976146,0.0
IEEE 300-bus,1.02,Trace-Anchored Reference,Nodal signed linear,11.360336940457257,0.0036181413059499833,11.31333329443592,0.0
IEEE 300-bus,1.02,Trace-Anchored Reference,Uniform gross,2797.6905091976146,1.1511022633859778,2797.6905091976146,0.0
IEEE 300-bus,1.02,Trace-Anchored Reference,Uniform signed net,11.360336940457266,0.0036181413059498168,11.313333294435937,0.0
IEEE 39-bus,0.9,Risk-Constrained Convex Verifier,Nodal exact net value,163.94081556203997,0.9999999999999871,26.700023075899075,0.0
IEEE 39-bus,0.9,Risk-Constrained Convex Verifier,Nodal gross,171.06400422164245,0.8896239466347181,99.5893289901632,0.0
IEEE 39-bus,0.9,Risk-Constrained Convex Verifier,Nodal signed linear,163.92855876131156,1.0,26.70908395302986,0.0
