day,network,load_multiplier,settlement_segments,evaluation_segments,linear_absolute_error_usd,exact_absolute_error_usd,linear_minus_exact_error_usd,checkpoint_schema_version,panel_checksum
61,IEEE RTS 24-bus,0.98,10,40,662.1427612618177,662.7082849454146,-0.5655236835968935,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
62,IEEE RTS 24-bus,0.98,10,40,1.0888898787524245e-11,7.275957614183426e-12,3.6129411733408195e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
63,IEEE RTS 24-bus,0.98,10,40,862.2626877691932,862.2626877692055,-1.2278178473934531e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
64,IEEE RTS 24-bus,0.98,10,40,432.7966426562234,432.79664265620886,1.4551915228366852e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
65,IEEE RTS 24-bus,0.98,10,40,211.16204836758496,211.1620483675979,-1.2931877790833823e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
66,IEEE RTS 24-bus,0.98,10,40,172.38733674137768,174.6317455028311,-2.2444087614534283,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
67,IEEE RTS 24-bus,0.98,10,40,1098.6046796038115,1098.6046796038117,-2.2737367544323206e-13,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
68,IEEE RTS 24-bus,0.98,10,40,77.81611904498641,77.8161190449955,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
69,IEEE RTS 24-bus,0.98,10,40,153.3362017133927,153.3362017133968,-4.092726157978177e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
70,IEEE RTS 24-bus,0.98,10,40,75.85357754326357,75.85357754326105,2.5153212845907547e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
71,IEEE RTS 24-bus,0.98,10,40,1561.9555104029623,1561.9555104029696,-7.275957614183426e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
72,IEEE RTS 24-bus,0.98,10,40,272.0791022188696,272.07910221887687,-7.275957614183426e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
73,IEEE RTS 24-bus,0.98,10,40,233.5712682026041,233.57126820260055,3.552713678800501e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
74,IEEE RTS 24-bus,0.98,10,40,391.50023842886594,391.50023842887094,-5.002220859751105e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
75,IEEE RTS 24-bus,0.98,10,40,13.14530467260985,13.131064052564398,0.014240620045452346,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
76,IEEE RTS 24-bus,0.98,10,40,428.2406614623269,428.2406614623451,-1.8189894035458565e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
77,IEEE RTS 24-bus,0.98,10,40,727.5109896327846,727.5109896327976,-1.3073986337985843e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
78,IEEE RTS 24-bus,0.98,10,40,98.96041951424922,99.17642339216945,-0.21600387792022957,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
79,IEEE RTS 24-bus,0.98,10,40,1241.1363558524472,1241.1363558524245,2.2737367544323206e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
80,IEEE RTS 24-bus,0.98,10,40,446.874569610196,446.8745696102087,-1.2732925824820995e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
81,IEEE RTS 24-bus,0.98,10,40,848.7242404772827,848.6838590372772,0.04038144000548982,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
82,IEEE RTS 24-bus,0.98,10,40,411.73994316931385,411.73994316932476,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
83,IEEE RTS 24-bus,0.98,10,40,201.2307765210306,201.2307765210553,-2.4698465495021082e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
84,IEEE RTS 24-bus,0.98,10,40,640.9592192481214,640.9592192481177,3.637978807091713e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
85,IEEE RTS 24-bus,0.98,10,40,164.3183861518119,164.31838615182278,-1.0885514711844735e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
86,IEEE RTS 24-bus,0.98,10,40,130.23887386744846,130.2388738674399,8.554934538551606e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
87,IEEE RTS 24-bus,0.98,10,40,377.3205038088544,377.3205038088654,-1.0970779840135947e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
88,IEEE RTS 24-bus,0.98,10,40,295.0892466885489,295.08924668857435,-2.546585164964199e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
89,IEEE RTS 24-bus,0.98,10,40,395.7251973739528,395.8992697829526,-0.17407240899979115,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
90,IEEE RTS 24-bus,0.98,10,40,1.818829435093098e-11,1.8189894035458565e-12,1.6369304947385122e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
91,IEEE RTS 24-bus,0.98,10,40,35.15099514420748,35.15099514419671,1.0764722446765518e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
92,IEEE RTS 24-bus,0.98,10,40,112.56652325717732,112.56652325718642,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
93,IEEE RTS 24-bus,0.98,10,40,200.95523039133806,200.95523039135333,-1.5262457964126952e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
94,IEEE RTS 24-bus,0.98,10,40,391.6935247749698,391.69352477499706,-2.7284841053187847e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
95,IEEE RTS 24-bus,0.98,10,40,148.57556902247322,148.57556902249962,-2.6403768060845323e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
96,IEEE RTS 24-bus,0.98,10,40,305.71986499388726,305.7198649939055,-1.8246737454319373e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
97,IEEE RTS 24-bus,0.98,10,40,119.79174237123698,119.79174237123152,5.4569682106375694e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
98,IEEE RTS 24-bus,0.98,10,40,130.64542450242516,130.64542450242516,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
99,IEEE RTS 24-bus,0.98,10,40,123.16127612893776,123.16127612894707,-9.308109838457312e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
100,IEEE RTS 24-bus,0.98,10,40,279.47787901765145,279.4778790176515,-5.684341886080802e-14,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
101,IEEE RTS 24-bus,0.98,10,40,218.02081262127092,218.02081262127103,-1.1368683772161603e-13,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
102,IEEE RTS 24-bus,0.98,10,40,279.5791351830493,279.5791351830467,2.6147972675971687e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
103,IEEE RTS 24-bus,0.98,10,40,236.21484056287989,236.2148405628741,5.7980287238024175e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
104,IEEE RTS 24-bus,0.98,10,40,223.76318373913273,223.76318373913273,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
105,IEEE RTS 24-bus,0.98,10,40,64.9780478774791,64.97804787747009,9.00968188943807e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
106,IEEE RTS 24-bus,0.98,10,40,89.29222029353514,89.29222029355878,-2.3646862246096134e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
107,IEEE RTS 24-bus,0.98,10,40,89.62845434934924,89.62845434934025,8.995471034722868e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
108,IEEE RTS 24-bus,0.98,10,40,300.5314966909391,300.5314966909482,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
109,IEEE RTS 24-bus,0.98,10,40,100.26060607576179,100.26060607576619,-4.405364961712621e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
110,IEEE RTS 24-bus,0.98,10,40,188.1386475233211,188.13864752332483,-3.723243935382925e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
111,IEEE RTS 24-bus,0.98,10,40,359.13745733872,359.137457338722,-1.9895196601282805e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
112,IEEE RTS 24-bus,0.98,10,40,503.1840427345124,503.18404273452506,-1.2676082405960187e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
113,IEEE RTS 24-bus,0.98,10,40,42.04920507447423,42.04920507448878,-1.4551915228366852e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
114,IEEE RTS 24-bus,0.98,10,40,561.4993432388529,561.4993432388765,-2.3533175408374518e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
61,IEEE RTS 24-bus,0.98,20,80,662.2600758866378,662.5966571750123,-0.33658128837453205,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
62,IEEE RTS 24-bus,0.98,20,80,9.067786809785845e-12,7.275957614183426e-12,1.791829195602419e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
63,IEEE RTS 24-bus,0.98,20,80,862.3161579488374,862.3161579488442,-6.821210263296962e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
64,IEEE RTS 24-bus,0.98,20,80,432.78951879923267,432.78951879921806,1.460875864722766e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
65,IEEE RTS 24-bus,0.98,20,80,211.38637823212002,211.3863782321314,-1.1368683772161603e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
66,IEEE RTS 24-bus,0.98,20,80,172.76090980227804,174.46883030277058,-1.7079205004925484,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
67,IEEE RTS 24-bus,0.98,20,80,1098.575953401454,1098.575953401456,-2.0463630789890885e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
68,IEEE RTS 24-bus,0.98,20,80,77.98743439706858,77.98743439708232,-1.3741896509600338e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
69,IEEE RTS 24-bus,0.98,20,80,153.31406029981414,153.31406029981918,-5.030642569181509e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
70,IEEE RTS 24-bus,0.98,20,80,75.86550666297641,75.86550666298172,-5.300648808770347e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
71,IEEE RTS 24-bus,0.98,20,80,1561.9278544036206,1561.9278544036315,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
72,IEEE RTS 24-bus,0.98,20,80,272.10659112220674,272.10659112221583,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
73,IEEE RTS 24-bus,0.98,20,80,233.54488482480147,233.54488482480338,-1.9042545318370685e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
74,IEEE RTS 24-bus,0.98,20,80,391.5355994801664,391.53559948016846,-2.0463630789890885e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
