network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE RTS 24-bus,0.9,61,Uniform gross,Trace-Anchored Reference,264.9969834038721,220.4227018125457,44.57428159132644,0.2022218275376816,44.57428159132644,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal gross,Trace-Anchored Reference,264.9969834038721,220.4227018125457,44.57428159132644,0.2022218275376816,44.57428159132644,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Uniform signed net,Trace-Anchored Reference,220.85410125913472,220.4227018125457,0.4313994465890118,0.0019571461697982,0.4313994465890118,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal signed linear,Trace-Anchored Reference,220.85410125913472,220.4227018125457,0.4313994465890118,0.0019571461697982,0.4313994465890118,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal exact net value,Trace-Anchored Reference,220.40163172963548,220.4227018125457,0.0210700829102279,9.558944127337024e-05,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Uniform gross,Risk-Constrained Convex Verifier,73.13868484774154,220.4227018125457,147.28401696480415,0.6681889649009884,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal gross,Risk-Constrained Convex Verifier,73.13868484774154,220.4227018125457,147.28401696480415,0.6681889649009884,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Uniform signed net,Risk-Constrained Convex Verifier,0.0384431046019409,220.4227018125457,220.38425870794376,0.999825593714777,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal signed linear,Risk-Constrained Convex Verifier,0.0384431046019404,220.4227018125457,220.38425870794376,0.999825593714777,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,61,Nodal exact net value,Risk-Constrained Convex Verifier,0.0384431046004465,220.4227018125457,220.3842587079453,0.9998255937147836,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Uniform gross,Trace-Anchored Reference,220.4185513057768,1.8189894035458565e-12,220.4185513057749,220418551305.7749,220.4185513057749,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal gross,Trace-Anchored Reference,220.4185513057768,1.8189894035458565e-12,220.4185513057749,220418551305.7749,220.4185513057749,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Uniform signed net,Trace-Anchored Reference,-3.2600918824393826e-14,1.8189894035458565e-12,1.8515903223702506e-12,0.0018515903223702,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
