day,network,load_multiplier,settlement_segments,evaluation_segments,linear_absolute_error_usd,exact_absolute_error_usd,linear_minus_exact_error_usd,checkpoint_schema_version,panel_checksum
61,IEEE RTS 24-bus,0.98,10,40,664.9783690237969,665.6518865375037,-0.6735175137068836,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
61,IEEE RTS 24-bus,0.98,20,80,664.9533101020389,665.3541658028444,-0.40085570080543675,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
61,IEEE RTS 24-bus,0.98,40,160,665.0947248060936,665.3159836031882,-0.22125879709460605,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
61,IEEE RTS 24-bus,0.98,80,320,665.2009461180336,665.3527642901245,-0.15181817209088422,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
62,IEEE RTS 24-bus,0.98,10,40,3.630973519528063e-12,3.637978807091713e-12,-7.0052875636497844e-15,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
62,IEEE RTS 24-bus,0.98,20,80,7.274624606578924e-12,1.0913936421275139e-11,-3.639311814696215e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
62,IEEE RTS 24-bus,0.98,40,160,9.077653118956343e-12,1.0913936421275139e-11,-1.836283302318796e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
62,IEEE RTS 24-bus,0.98,80,320,3.65184073516083e-12,1.8189894035458565e-12,1.8328513316149736e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
63,IEEE RTS 24-bus,0.98,10,40,837.9246073673183,837.9246073673021,1.6257217794191092e-11,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
63,IEEE RTS 24-bus,0.98,20,80,838.021809654161,838.0364333353027,-0.014623681141756606,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
63,IEEE RTS 24-bus,0.98,40,160,838.0428121818629,838.0467408939621,-0.003928712099195764,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
63,IEEE RTS 24-bus,0.98,80,320,838.0282448670989,838.0433010873712,-0.01505622027229947,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
64,IEEE RTS 24-bus,0.98,10,40,444.2058841206252,444.205884120629,-3.751665644813329e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
64,IEEE RTS 24-bus,0.98,20,80,444.2374701874395,444.2374701874469,-7.389644451905042e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
64,IEEE RTS 24-bus,0.98,40,160,444.2397999716212,444.2397999716268,-5.5706550483591855e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
64,IEEE RTS 24-bus,0.98,80,320,444.2397578485487,444.2397578485561,-7.389644451905042e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
65,IEEE RTS 24-bus,0.98,10,40,218.04432146384465,218.04432146384897,-4.320099833421409e-12,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
65,IEEE RTS 24-bus,0.98,20,80,217.72745472410753,217.92130829333655,-0.1938535692290202,1,9b9800268edba7716204113e7dbed0c08ac7c06e7e0db1e6a15012e3cbc4238a
