day,slot,participant,site,portfolio,pretest_measured_energy_share,participant_bus_zero_based,exact_shapley_value_usd,grand_coalition_value_usd,budget_residual_usd,coalitions_enumerated,network,checkpoint_schema_version,panel_checksum,day_solve_seconds
61,64,1,1,Inference portfolio,0.34116226464411364,2,1.6197713488581948,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,2,1,Batch portfolio,0.6588377353558863,2,3.1280320183962678,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,3,2,Inference portfolio,0.33057293418307065,7,-1.5694952900372896,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,4,2,Batch portfolio,0.6694270658169293,7,-3.178308077217177,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,5,3,Inference portfolio,0.305947522147028,14,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,6,3,Batch portfolio,0.694052477852972,14,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,7,4,Inference portfolio,0.3190276782727869,20,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,64,8,4,Batch portfolio,0.6809723217272131,20,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,1,1,Inference portfolio,0.34116226464411364,2,3.3013835122057267,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,2,1,Batch portfolio,0.6588377353558863,2,6.377436486688118,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,3,2,Inference portfolio,0.33057293418307065,7,-3.1988469789647187,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,4,2,Batch portfolio,0.6694270658169293,7,-6.479973019929127,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,5,3,Inference portfolio,0.305947522147028,14,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,6,3,Batch portfolio,0.694052477852972,14,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,7,4,Inference portfolio,0.3190276782727869,20,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,65,8,4,Batch portfolio,0.6809723217272131,20,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,1,1,Inference portfolio,0.34116226464411364,2,5.462793667874998,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,2,1,Batch portfolio,0.6588377353558863,2,10.549509666942269,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,3,2,Inference portfolio,0.33057293418307065,7,-5.293234096420144,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,4,2,Batch portfolio,0.6694270658169293,7,-10.719069238397129,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,5,3,Inference portfolio,0.305947522147028,14,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,6,3,Batch portfolio,0.694052477852972,14,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,7,4,Inference portfolio,0.3190276782727869,20,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,66,8,4,Batch portfolio,0.6809723217272131,20,0.0,0.0,-3.552713678800501e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,1,1,Inference portfolio,0.34116226464411364,2,6.89623499459215,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,2,1,Batch portfolio,0.6588377353558863,2,13.317709246239986,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,3,2,Inference portfolio,0.33057293418307065,7,-6.682182859105669,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,4,2,Batch portfolio,0.6694270658169293,7,-13.531761381726485,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,5,3,Inference portfolio,0.305947522147028,14,0.0,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,6,3,Batch portfolio,0.694052477852972,14,0.0,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,7,4,Inference portfolio,0.3190276782727869,20,0.0,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,67,8,4,Batch portfolio,0.6809723217272131,20,0.0,0.0,-2.1316282072803006e-14,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,68,1,1,Inference portfolio,0.34116226464411364,2,2.822036618433078,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,68,2,1,Batch portfolio,0.6588377353558863,2,5.446713588004212,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
61,68,3,2,Inference portfolio,0.33057293418307065,7,-2.734460024082939,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,f1d281752a022a23b8a5c3f0bd159b0ac1fb8041ffe385f96e4908622e197aa4,13.881581374000234
