day,peak_event_slot,participant_count,members_per_site,site,participant_bus_zero_based,exact_per_member_shapley_usd,site_total_shapley_usd,grand_coalition_value_usd,budget_residual_usd,count_states_evaluated,full_coalitions_avoided,solve_seconds,network,checkpoint_schema_version,panel_checksum
61,67,4,1,1,2,20.21394424083246,20.21394424083246,0.0,0.0,16,0,0.11011634799797321,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,4,1,2,7,-20.21394424083246,-20.21394424083246,0.0,0.0,16,0,0.11011634799797321,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,4,1,3,14,0.0,0.0,0.0,0.0,16,0,0.11011634799797321,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,4,1,4,20,0.0,0.0,0.0,0.0,16,0,0.11011634799797321,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,8,2,1,2,10.106972120415627,20.213944240831253,0.0,3.552713678800501e-15,81,175,0.5830690669972682,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,8,2,2,7,-10.106972120415625,-20.21394424083125,0.0,3.552713678800501e-15,81,175,0.5830690669972682,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,8,2,3,14,0.0,0.0,0.0,3.552713678800501e-15,81,175,0.5830690669972682,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,8,2,4,20,0.0,0.0,0.0,3.552713678800501e-15,81,175,0.5830690669972682,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,12,3,1,2,6.737981413610997,20.21394424083299,0.0,-1.0658141036401503e-14,256,3840,1.8480149440001696,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,12,3,2,7,-6.737981413611,-20.213944240833,0.0,-1.0658141036401503e-14,256,3840,1.8480149440001696,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,12,3,3,14,0.0,0.0,0.0,-1.0658141036401503e-14,256,3840,1.8480149440001696,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,12,3,4,20,0.0,0.0,0.0,-1.0658141036401503e-14,256,3840,1.8480149440001696,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,16,4,1,2,5.0534860602075975,20.21394424083039,0.0,1.4210854715202004e-14,625,64911,4.1639521430006425,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,16,4,2,7,-5.053486060207594,-20.213944240830376,0.0,1.4210854715202004e-14,625,64911,4.1639521430006425,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
61,67,16,4,3,14,0.0,0.0,0.0,1.4210854715202004e-14,625,64911,4.1639521430006425,IEEE RTS 24-bus,2,ea8027473491d1a58705644f9e1667365a5435516826056f10101539b8ca4131
