day,slot,participant,site,portfolio,pretest_measured_energy_share,participant_bus_zero_based,exact_shapley_value_usd,grand_coalition_value_usd,budget_residual_usd,coalitions_enumerated,network,checkpoint_schema_version,panel_checksum,day_solve_seconds
61,64,1,1,Inference portfolio,0.3360858524341381,2,1.1162278201386162,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,2,1,Batch portfolio,0.6639141475658619,2,2.205030162172899,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,3,2,Inference portfolio,0.30397103703587725,7,-1.0095662331464754,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,4,2,Batch portfolio,0.6960289629641228,7,-2.311691749163736,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,5,3,Inference portfolio,0.3194660181587846,14,2.2689710181470217,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,6,3,Batch portfolio,0.6805339818412154,14,4.833415117392332,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,7,4,Inference portfolio,0.3374214395382333,20,0.0,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,64,8,4,Batch portfolio,0.6625785604617667,20,0.0,7.102386135540655,1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,1,1,Inference portfolio,0.3360858524341381,2,3.740062258659233,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,2,1,Batch portfolio,0.6639141475658619,2,7.390957438825964,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,3,2,Inference portfolio,0.30397103703587725,7,-3.3829287037679046,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,4,2,Batch portfolio,0.6960289629641228,7,-7.748090993717295,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,5,3,Inference portfolio,0.3194660181587846,14,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,6,3,Batch portfolio,0.6805339818412154,14,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,7,4,Inference portfolio,0.3374214395382333,20,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,65,8,4,Batch portfolio,0.6625785604617667,20,0.0,0.0,-1.7763568394002505e-15,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,1,1,Inference portfolio,0.3360858524341381,2,5.7020767176478975,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,2,1,Batch portfolio,0.6639141475658619,2,11.264054633463589,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,3,2,Inference portfolio,0.30397103703587725,7,-5.157212541284638,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,4,2,Batch portfolio,0.6960289629641228,7,-11.808918809826858,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,5,3,Inference portfolio,0.3194660181587846,14,0.0,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,6,3,Batch portfolio,0.6805339818412154,14,0.0,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,7,4,Inference portfolio,0.3374214395382333,20,0.0,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,66,8,4,Batch portfolio,0.6625785604617667,20,0.0,0.0,-1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,1,1,Inference portfolio,0.3360858524341381,2,6.80390986166474,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,2,1,Batch portfolio,0.6639141475658619,2,13.440649117497905,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,3,2,Inference portfolio,0.30397103703587725,7,-6.153759587230069,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,4,2,Batch portfolio,0.6960289629641228,7,-14.090799391932547,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,5,3,Inference portfolio,0.3194660181587846,14,0.0,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,6,3,Batch portfolio,0.6805339818412154,14,0.0,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,7,4,Inference portfolio,0.3374214395382333,20,0.0,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,67,8,4,Batch portfolio,0.6625785604617667,20,0.0,0.0,3.197442310920451e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,68,1,1,Inference portfolio,0.3360858524341381,2,4.201679633926991,0.0,1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,68,2,1,Batch portfolio,0.6639141475658619,2,8.293830187213036,0.0,1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,68,3,2,Inference portfolio,0.30397103703587725,7,-3.800616772361229,0.0,1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,68,4,2,Batch portfolio,0.6960289629641228,7,-8.694893048778788,0.0,1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
61,68,5,3,Inference portfolio,0.3194660181587846,14,0.0,0.0,1.0658141036401503e-14,256,IEEE RTS 24-bus,2,3e3d0737d91acb37be515001f911d304bfce93540e3d063ca4640a87bd55fa9f,13.859454613997514
