day,peak_event_slot,participant_count,members_per_site,site,participant_bus_zero_based,exact_per_member_shapley_usd,site_total_shapley_usd,grand_coalition_value_usd,budget_residual_usd,count_states_evaluated,full_coalitions_avoided,solve_seconds,network,checkpoint_schema_version,panel_checksum
61,67,4,1,1,2,20.24455897916323,20.24455897916323,0.0,0.0,16,0,0.10613344100056565,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,4,1,2,7,-20.24455897916323,-20.24455897916323,0.0,0.0,16,0,0.10613344100056565,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,4,1,3,14,0.0,0.0,0.0,0.0,16,0,0.10613344100056565,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,4,1,4,20,0.0,0.0,0.0,0.0,16,0,0.10613344100056565,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,8,2,1,2,10.12227948958101,20.24455897916202,0.0,-3.552713678800501e-15,81,175,0.537647883000318,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,8,2,2,7,-10.122279489581011,-20.244558979162022,0.0,-3.552713678800501e-15,81,175,0.537647883000318,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,8,2,3,14,0.0,0.0,0.0,-3.552713678800501e-15,81,175,0.537647883000318,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,8,2,4,20,0.0,0.0,0.0,-3.552713678800501e-15,81,175,0.537647883000318,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,12,3,1,2,6.748186326387931,20.244558979163795,0.0,-2.6645352591003757e-15,256,3840,1.6986954060012067,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,12,3,2,7,-6.748186326387932,-20.2445589791638,0.0,-2.6645352591003757e-15,256,3840,1.6986954060012067,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,12,3,3,14,0.0,0.0,0.0,-2.6645352591003757e-15,256,3840,1.6986954060012067,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,12,3,4,20,0.0,0.0,0.0,-2.6645352591003757e-15,256,3840,1.6986954060012067,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,16,4,1,2,5.061139744790259,20.244558979161035,0.0,3.552713678800501e-15,625,64911,4.130553513998166,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,16,4,2,7,-5.061139744790258,-20.24455897916103,0.0,3.552713678800501e-15,625,64911,4.130553513998166,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,16,4,3,14,0.0,0.0,0.0,3.552713678800501e-15,625,64911,4.130553513998166,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,16,4,4,20,0.0,0.0,0.0,3.552713678800501e-15,625,64911,4.130553513998166,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,20,5,1,2,4.048911795832688,20.24455897916344,0.0,-4.440892098500626e-15,1296,1047280,8.612565362000169,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,20,5,2,7,-4.048911795832689,-20.244558979163443,0.0,-4.440892098500626e-15,1296,1047280,8.612565362000169,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,20,5,3,14,0.0,0.0,0.0,-4.440892098500626e-15,1296,1047280,8.612565362000169,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
61,67,20,5,4,20,0.0,0.0,0.0,-4.440892098500626e-15,1296,1047280,8.612565362000169,IEEE RTS 24-bus,2,331cc5d8961bc6e2bc993a6a1fd6c822173a93e4f8ce063494b93ab1abacfd8c
