day,event_slot,baseline_quality,mechanism,payment_usd,realized_n1_value_usd,absolute_error_usd,overpayment_usd,base_case_max_loading,n1_base_case_max_loading,n1_max_post_contingency_loading,binding_contingency_constraints,credible_line_contingencies,excluded_islanding_contingencies,load_multiplier,peak_dc_penetration,dc_power_scale,settlement_generator_segments,evaluation_generator_segments,checkpoint_schema_version,panel_checksum
61,64,Trace-Anchored Reference,Base-case exact net value,34.664658246163526,34.0923782046375,0.5722800415260281,0.5722800415260281,0.7831591866809258,0.7508844979643196,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,64,Trace-Anchored Reference,N-1 signed linear,34.02628108938891,34.0923782046375,0.0660971152485885,0.0,0.7831591866809258,0.7508844979643196,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,64,Trace-Anchored Reference,N-1 exact net value,33.95527130049959,34.0923782046375,0.1371069041379087,0.0,0.7831591866809258,0.7508844979643196,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,64,Risk-Constrained Convex Verifier,Base-case exact net value,7.102386135540655,34.0923782046375,26.989992069096843,0.0,0.7861595110838345,0.7511230148839467,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,64,Risk-Constrained Convex Verifier,N-1 signed linear,0.3335356962314204,34.0923782046375,33.75884250840608,0.0,0.7861595110838345,0.7511230148839467,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,64,Risk-Constrained Convex Verifier,N-1 exact net value,0.3335356962306832,34.0923782046375,33.758842508406815,0.0,0.7861595110838345,0.7511230148839467,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Trace-Anchored Reference,Base-case exact net value,34.586998044262145,19.95381377832564,14.633184265936508,14.633184265936508,0.7797529965655003,0.7504659047635027,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Trace-Anchored Reference,N-1 signed linear,19.87976070123068,19.95381377832564,0.074053077094959,0.0,0.7797529965655003,0.7504659047635027,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Trace-Anchored Reference,N-1 exact net value,19.795325608380157,19.95381377832564,0.1584881699454854,0.0,0.7797529965655003,0.7504659047635027,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,19.95381377832564,19.95381377832564,0.0,0.7839639020270233,0.7507843240464931,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Risk-Constrained Convex Verifier,N-1 signed linear,-18.949821671287232,19.95381377832564,38.90363544961287,0.0,0.7839639020270233,0.7507843240464931,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,65,Risk-Constrained Convex Verifier,N-1 exact net value,-19.332368418770784,19.95381377832564,39.28618219709642,0.0,0.7839639020270233,0.7507843240464931,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Trace-Anchored Reference,Base-case exact net value,31.81078750320557,5.436313017706198,26.374474485499377,26.374474485499377,0.7777485200423907,0.7501547257015764,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Trace-Anchored Reference,N-1 signed linear,5.417533389765365,5.436313017706198,0.0187796279408329,0.0,0.7777485200423907,0.7501547257015764,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Trace-Anchored Reference,N-1 exact net value,5.210758047494892,5.436313017706198,0.2255549702113057,0.0,0.7777485200423907,0.7501547257015764,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,5.436313017706198,5.436313017706198,0.0,0.7817419877620134,0.750538620229217,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Risk-Constrained Convex Verifier,N-1 signed linear,-29.63854586367329,5.436313017706198,35.074858881379484,0.0,0.7817419877620134,0.750538620229217,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
61,66,Risk-Constrained Convex Verifier,N-1 exact net value,-29.63854586368689,5.436313017706198,35.074858881393084,0.0,0.7817419877620134,0.750538620229217,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
