day,solver_success,global_lp_status,mean_absolute_target_deviation_mw,first_stage_optimal_target_deviation_mw,worst_case_fractional_cost_margin,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_violation_usd,certificate_schema_version,candidate_checksum,conversion_scale_q01,conversion_scale_q10,conversion_scale_q50,conversion_scale_q90,conversion_scale_q99,certified_cost_q01_usd,certified_cost_q10_usd,certified_cost_q50_usd,certified_cost_q90_usd,certified_cost_q99_usd,reference_cost_q01_usd,reference_cost_q10_usd,reference_cost_q50_usd,reference_cost_q90_usd,reference_cost_q99_usd,weight_rho_0.03,weight_rho_0.1,weight_rho_0.3,weight_rho_1,weight_rho_3,weight_rho_10,weight_feasible_quantile
61,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,9.999999842492617e-10,0.0,1.927652143041341e-05,106419.37027574399,106422.84397890212,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106343.6886075534,106371.22247137854,106419.37027574399,106471.33570850096,106732.71136888555,106345.73858345213,106373.79473614792,106422.84397890212,106475.79424855701,106741.21465942894,0.0,-5.4156942969553735e-15,0.0,1.0000000003874054,0.0,-3.8736693911027465e-10,-2.2536164898914263e-14
62,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000033833073e-09,0.0,0.0004010462454769317,106689.620541154,106761.4017870197,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106501.68449132182,106569.89917343619,106689.620541154,106819.31366640392,107471.13637563924,106544.41372841413,106623.3893670958,106761.4017870197,106910.35219144098,107658.03035983138,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0
63,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0003339854073437649,106724.2232400329,106783.29034684255,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106521.67353755262,106595.2429925295,106724.2232400329,106863.50134837224,107562.18920666771,106557.26198614395,106639.52796087574,106783.29034684255,106938.62411871468,107718.49198460198,0.0,0.0,0.0,0.9999999987933111,0.0,5.87704530799187e-11,0.0
64,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00039377745766980943,106734.51091826711,106804.47239080514,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106527.73089702682,106602.98122102486,106734.51091826711,106876.85632430646,107592.50141966039,106569.69552961495,106655.14563539188,106804.47239080514,106965.63383281147,107774.90963960046,0.0,0.0,0.0,0.999999998644795,-1.1944067355811988e-10,4.2815359868349214e-10,0.0
65,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.7613383821352183,0.7613383811352185,9.361674238974142e-14,106382.74123255575,106382.74628046647,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106322.23285218858,106344.24817432297,106382.74123255575,106424.30116558236,106632.78375037287,106322.25751775768,106344.26569978902,106382.74628046647,106424.30116558238,106632.78375037285,-0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,0.0002554574406545907,106489.09589610861,106534.89417393628,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106384.09460299932,106422.3111953731,106489.09589610861,106561.17352643485,106922.4724278486,106411.27815576378,106456.26563902036,106534.89417393628,106619.75430522909,107047.56219790586,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.18016988594926597,0.1801698859304648,9.401593154693642e-14,106272.7230787844,106272.72307878439,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106257.73116426583,106263.18203696088,106272.7230787844,106283.02287035137,106334.80514839181,106257.73116426583,106263.18203696088,106272.72307878439,106283.02287035139,106334.80514839181,0.0,-0.0,1.0,0.0,0.0,0.0,0.0
68,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,8.503839017595552e-05,106433.97387628682,106449.32731259482,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106352.21843465905,106381.97439570016,106433.97387628682,106490.0945041792,106772.56144474397,106361.26292418106,106393.30819313898,106449.32731259482,106509.80082554895,106812.97754662292,0.0,0.0,0.0,0.9999999971662707,0.0,0.0,0.0
69,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0005915566695810576,106715.89545973227,106820.6772130811,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106516.15998778176,106588.62416331217,106715.89545973227,106853.3573260836,107543.05323312155,106579.2075182863,106667.09356828942,106820.6772130811,106986.43291837795,107818.97517166447,0.0,0.0,0.0,0.9999999983961513,-6.640256333830183e-10,1.2274206043750603e-09,0.0
70,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00031947604613179875,106569.38315521897,106626.61245826294,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106431.28141051243,106481.37316323057,106569.38315521897,106664.49954864284,107142.37996333816,106465.29440539285,106524.00821820897,106626.61245826294,106737.3484562246,107293.16123706813,0.0,0.0,0.0,0.9999999989041716,0.0,0.0,0.0
