conversion_scenario,conversion_scale_factor,counterfactual_method,mean_payment_usd,mean_realized_value_usd,mean_absolute_error_usd,mean_overpayment_usd,maximum_post_contingency_loading
q10,0.734154196797104,Feasible Quantile Projection,-142.3448128893684,-59.828459167993124,138.99004990733897,28.236848092981845,1.0000000000000022
q10,0.734154196797104,Payment-Certified N-1 Verifier,-145.29135530341085,-59.828459167993124,141.93659223679208,28.236848050687176,1.0000000000000022
q10,0.734154196797104,Risk-Constrained Convex Verifier,-128.23780604674428,-59.828459167993124,131.03994323962505,31.315298180436944,1.0000000000000022
q10,0.734154196797104,Single Feasible Projection,-127.96462378876637,-59.828459167993124,131.03157160280713,31.44770349101694,1.0000000000000022
q50,0.9957235602389071,Feasible Quantile Projection,-193.9600630045025,-82.56304881174846,189.09975754865647,38.85137167795121,1.0000000000000022
q50,0.9957235602389071,Payment-Certified N-1 Verifier,-197.93356947919986,-82.56304881174846,193.07326390787213,38.85137162021036,1.0000000000000022
q50,0.9957235602389071,Risk-Constrained Convex Verifier,-174.5203135101492,-82.56304881174846,178.09433954583776,43.068537423718496,1.0000000000000022
q50,0.9957235602389071,Single Feasible Projection,-174.14971887692997,-82.56304881174846,178.08290403156226,43.24811698319037,1.0000000000000022
q90,1.2780232437772188,Feasible Quantile Projection,-249.86110660624303,-108.3052651338315,242.76352523084893,50.6038418792187,1.0000000000000022
q90,1.2780232437772188,Payment-Certified N-1 Verifier,-254.93432942619728,-108.3052651338315,247.83674790176252,50.60384180469838,1.0000000000000022
q90,1.2780232437772188,Risk-Constrained Convex Verifier,-224.6296385324313,-108.3052651338315,228.68281089683248,56.179218749116345,1.0000000000000022
q90,1.2780232437772188,Single Feasible Projection,-224.1519037147045,-108.3052651338315,228.6684805995972,56.41092100936209,1.0000000000000022
