day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,certificate_used_scale,payment_evaluation_profile_checksum
61,heldout-interior-low,0.8,64,Feasible Quantile Projection,2.449588427785784,7.571118475827461,5.121530048041677,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,64,Payment-Certified N-1 Verifier,1.982916122809911,7.571118475827461,5.58820235301755,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,64,Risk-Constrained Convex Verifier,-0.5708336604766373,7.571118475827461,8.141952136304099,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,64,Single Feasible Projection,-1.5037710445540142,7.571118475827461,9.074889520381475,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,65,Feasible Quantile Projection,-3.836151356154005,5.992716849134013,9.828868205288018,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,65,Payment-Certified N-1 Verifier,-3.3103945272014244,5.992716849134013,9.303111376335435,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,65,Risk-Constrained Convex Verifier,-3.1627870063312,5.992716849134013,9.155503855465213,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,65,Single Feasible Projection,-3.036384038725373,5.992716849134013,9.029100887859386,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,66,Feasible Quantile Projection,-6.250729357409,3.298042459438875,9.548771816847877,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,66,Payment-Certified N-1 Verifier,-6.82070118817137,3.298042459438875,10.118743647610245,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,66,Risk-Constrained Convex Verifier,-5.215479174697975,3.298042459438875,8.51352163413685,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,66,Single Feasible Projection,-5.021117450587553,3.298042459438875,8.319159910026428,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
61,heldout-interior-low,0.8,67,Feasible Quantile Projection,-6.68925795904579,1.7449652700015577,8.434223229047348,0.0,1.0,37,7,00cb8d9c7459b1942df08e56030540a40c9d0657cd2b5f673ae5689686f2ee79,False,dec6d62c030c0dd38d294a00c6b8fdeb9489b5fd0535d8b3cfc2fbf2de296b2a
