conversion_scenario,comparator,paired_days,certified_minus_comparator_absolute_error_mean_usd,absolute_error_difference_ci95_low_usd,absolute_error_difference_ci95_high_usd,certified_minus_comparator_overpayment_mean_usd,overpayment_difference_ci95_low_usd,overpayment_difference_ci95_high_usd,certified_overpayment_noninferior,certified_accuracy_noninferior,bootstrap_replications,block_length_days
q01,Feasible Quantile Projection,54,2.9392223880862134,-0.8884813073697696,6.280305538373754,-1.3503179199887432,-3.6138677178433167,-0.04111042079997181,True,False,5000,3
q01,Single Feasible Projection,54,3.84561950633876,0.03367735851021318,7.279739107324049,-1.6083658636546343,-4.011632894643215,-0.1844675518156388,True,False,5000,3
q01,Risk-Constrained Convex Verifier,54,3.7243063780554255,-0.14994919035915028,7.115477432263926,-1.56478016233258,-3.89350561929615,-0.13599453612901183,True,False,5000,3
q10,Feasible Quantile Projection,54,3.473314443418699,-0.9278376581323898,7.339718068297631,-1.5902724193012747,-4.20335815802416,-0.04854581731702907,True,False,5000,3
q10,Single Feasible Projection,54,4.54220814537678,-0.001208433012230667,8.706245420677215,-1.8945670742023477,-4.809315596389588,-0.2017932021535671,True,False,5000,3
q10,Risk-Constrained Convex Verifier,54,4.399129268136911,-0.15660961055181258,8.42806739465511,-1.8431782052252015,-4.611683474428226,-0.16043775264009769,True,False,5000,3
q50,Feasible Quantile Projection,54,4.896857137295126,-1.4568670178112044,10.402729370156294,-2.2417460238599167,-5.896468952408935,-0.06769101126122189,True,False,5000,3
q50,Single Feasible Projection,54,6.407954889462517,-0.020288169620758603,12.172100199753146,-2.6713833103626543,-6.585152083155731,-0.269456216635543,True,False,5000,3
q50,Risk-Constrained Convex Verifier,54,6.203903325081934,-0.30086757436472594,11.810844487592815,-2.599158439118077,-6.563130977777963,-0.22562458244485445,True,False,5000,3
q90,Feasible Quantile Projection,54,6.774100661567631,-1.8466353443791295,14.242414043733456,-3.1210119360108632,-8.592464136306369,-0.08987824600424371,True,False,5000,3
q90,Single Feasible Projection,54,8.883801687252916,-0.3183565367973394,17.18768666293141,-3.722025318686199,-9.524288017950955,-0.4078636444724284,True,False,5000,3
q90,Risk-Constrained Convex Verifier,54,8.598490602141553,-0.42764473312845813,16.481651448339978,-3.620514299693005,-9.232467399935766,-0.3082419180317528,True,False,5000,3
q99,Feasible Quantile Projection,54,26.26514006492747,-8.358044394384468,56.78361481123527,-12.820727645407478,-34.60945960974578,-0.48453246938047584,True,False,5000,3
q99,Single Feasible Projection,54,34.87173889427999,-3.3005466218099224,66.47585260777498,-15.276944493658583,-37.72611614306891,-1.4167972013450778,True,False,5000,3
q99,Risk-Constrained Convex Verifier,54,33.51542955971069,-4.161009398433988,66.22182835378037,-14.915991689270514,-37.67384411399819,-1.5926606290844978,True,False,5000,3
